Taxon,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Name Adopted,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Leptochloa fusca,unaccepted,1377294,Diplachne fusca,Diplachne fusca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Cynodonteae,Diplachne,fusca
Leptochloa fusca subsp. uninervia,unaccepted,1377299,Diplachne fusca uninervia,Diplachne fusca uninervia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Cynodonteae,Diplachne,fusca
Diplotaxis muralis,accepted,76664,Diplotaxis muralis,Diplotaxis muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Diplotaxis,muralis
Dipsacus laciniatus,accepted,117438,Dipsacus laciniatus,Dipsacus laciniatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,laciniatus
Doronicum x plantagineum,accepted,61305,Doronicum,Doronicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,
Doronicum orientale,unaccepted,857164,Doronicum caucasicum,Doronicum caucasicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Doronicum,caucasicum
Chenopodium ambrosioides,unaccepted,76746,Dysphania ambrosioides,Dysphania ambrosioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Dysphanieae,Dysphania,ambrosioides
Cycloloma atriplicifolium,unaccepted,1452518,Dysphania atriplicifolia,Dysphania atriplicifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Dysphanieae,Dysphania,atriplicifolia
Echinops exaltatus,accepted,162201,Echinops exaltatus,Echinops exaltatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Echinops,exaltatus
Ehrharta erecta,accepted,64140,Ehrharta erecta,Ehrharta erecta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Oryzoideae,Ehrharteae,Ehrharta,erecta
Elaeagnus multiflora,accepted,162213,Elaeagnus multiflora,Elaeagnus multiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Elaeagnus,multiflora
Elaeagnus umbellata,accepted,64697,Elaeagnus umbellata,Elaeagnus umbellata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Elaeagnus,umbellata
Eleocharis compressa,accepted,162236,Eleocharis compressa,Eleocharis compressa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,compressa
Eleocharis compressa var. compressa,accepted,1426753,Eleocharis compressa compressa,Eleocharis compressa compressa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,compressa
Eleocharis tenuis,accepted,76788,Eleocharis tenuis,Eleocharis tenuis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,tenuis
Eleocharis tenuis var. verrucosa,accepted,240482,Eleocharis tenuis verrucosa,Eleocharis tenuis verrucosa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,tenuis
Eleusine indica,accepted,76790,Eleusine indica,Eleusine indica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Cynodonteae,Eleusine,indica
Elodea callitrichoides,accepted,366210,Elodea callitrichoides,Elodea callitrichoides,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Hydrocharitaceae,,,Elodea,callitrichoides
Elymus dahuricus var. dahuricus,invalid,873887,Elymus dahuricus,Elymus dahuricus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Elymus,dahuricus
Epilobium komarovianum,accepted,359860,Epilobium komarovianum,Epilobium komarovianum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Epilobium,komarovianum
Epilobium glareosum,unaccepted,76828,Epilobium clavatum,Epilobium smithii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Epilobium,clavatum
Eragrostis curvula,accepted,76850,Eragrostis curvula,Eragrostis curvula,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Eragrostideae,Eragrostis,curvula
Eragrostis tef,accepted,145597,Eragrostis tef,Eragrostis tef,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Chloridoideae,Eragrostideae,Eragrostis,tef
Erechtites hieraciifolia,unaccepted,130888,Erechtites hieraciifolius,Erechtites hieraciifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Erechtites,hieraciifolius
Erica cinerea,accepted,55775,Erica cinerea,Erica cinerea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Ericeae,Erica,cinerea
Conyza bonariensis,unaccepted,76904,Erigeron bonariensis,Erigeron bonariensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Erigeron,bonariensis
Erodium moschatum,accepted,57092,Erodium moschatum,Erodium moschatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Erodium,moschatum
Eruca vesicaria subsp. sativa,unaccepted,284707,Eruca sativa,Eruca sativa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Brassiceae,Eruca,sativa
Eryngium giganteum,accepted,359455,Eryngium giganteum,Eryngium giganteum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Eryngium,giganteum
Erysimum repandum,accepted,77073,Erysimum repandum,Erysimum repandum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Erysimeae,Erysimum,repandum
Eupatorium altissimum,accepted,119135,Eupatorium altissimum,Eupatorium altissimum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Eupatorieae,Eupatorium,altissimum
Euphorbia characias subsp. wulfenii,accepted,414340,Euphorbia characias wulfenii,Euphorbia characias wulfenii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,characias
Euphorbia marginata,accepted,120507,Euphorbia marginata,Euphorbia marginata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,marginata
Chamaesyce nutans,unaccepted,200052,Euphorbia nutans,Euphorbia nutans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,nutans
Euphorbia oblongata,accepted,77117,Euphorbia oblongata,Euphorbia oblongata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,oblongata
Chamaesyce serpens,unaccepted,200054,Euphorbia serpens,Euphorbia serpens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,serpens
Euphorbia serrulata,unaccepted,401781,Euphorbia stricta,Euphorbia stricta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,stricta
Chamaesyce vermiculata,unaccepted,204171,Euphorbia vermiculata,Euphorbia vermiculata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,vermiculata
Euphorbia vermiculata,accepted,204171,Euphorbia vermiculata,Euphorbia vermiculata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,vermiculata
Eutrochium maculatum var. maculatum,accepted,355617,Eutrochium maculatum maculatum,Eutrochium maculatum maculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Eupatorieae,Eutrochium,maculatum
Fagopyrum tataricum,accepted,162931,Fagopyrum tataricum,Fagopyrum tataricum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Fagopyreae,Fagopyrum,tataricum
Fallopia baldschuanica,accepted,77128,Fallopia baldschuanica,Fallopia baldschuanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Polygoneae,Fallopia,baldschuanica
Fallopia dumetorum,accepted,204320,Fallopia dumetorum,Fallopia dumetorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Polygoneae,Fallopia,dumetorum
Festuca cinerea,accepted,934065,Festuca cinerea,Festuca cinerea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Festuca,cinerea
Filipendula ulmaria,accepted,63134,Filipendula ulmaria,Filipendula ulmaria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Ulmarieae,Filipendula,ulmaria
Filipendula vulgaris,accepted,62020,Filipendula vulgaris,Filipendula vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Ulmarieae,Filipendula,vulgaris
Forsythia x intermedia,accepted,60580,Forsythia,Forsythia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Oleaceae,,,Forsythia,
Fraxinus excelsior,accepted,125440,Fraxinus excelsior,Fraxinus excelsior,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Oleaceae,,,Fraxinus,excelsior
Galeopsis speciosa,accepted,163165,Galeopsis speciosa,Galeopsis speciosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,,Galeopsis,speciosa
Galium divaricatum,accepted,77193,Galium divaricatum,Galium divaricatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Galium,divaricatum
Galium murale,accepted,59005,Galium murale,Galium murale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Galium,murale
Gamochaeta pensylvanica,accepted,77221,Gamochaeta pensylvanica,Gamochaeta pensylvanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Gamochaeta,pensylvanica
Cytisus monspessulanus,unknown,,,Genista monspessulana,,,,,,,,,,,,,,,,
Teline monspessulana,unaccepted,53403,Genista monspessulana,Genista monspessulana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Genista,monspessulana
Genista pilosa,accepted,371833,Genista pilosa,Genista pilosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Genista,pilosa
Genista sagittalis,accepted,139079,Genista sagittalis,Genista sagittalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Genista,sagittalis
Geranium columbinum,accepted,77253,Geranium columbinum,Geranium columbinum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,columbinum
Geranium macrorrhizum,accepted,320685,Geranium macrorrhizum,Geranium macrorrhizum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,macrorrhizum
Geranium pratense,accepted,55722,Geranium pratense,Geranium pratense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,pratense
Geranium pyrenaicum,accepted,77259,Geranium pyrenaicum,Geranium pyrenaicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,pyrenaicum
Geranium sanguineum,accepted,129853,Geranium sanguineum,Geranium sanguineum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,sanguineum
Geranium sibiricum,accepted,163265,Geranium sibiricum,Geranium sibiricum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,sibiricum
Gilia achilleifolia,accepted,51098,Gilia achilleifolia,Gilia achilleifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Gilia,achilleifolia
Glandularia x hybrida,accepted,81794,Glandularia,Glandularia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Verbenaceae,,Verbeneae,Glandularia,
Guizotia abyssinica,accepted,163437,Guizotia abyssinica,Guizotia abyssinica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Millerieae,Guizotia,abyssinica
Gunnera tinctoria,accepted,77310,Gunnera tinctoria,Gunnera tinctoria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gunnerales,,,,Gunneraceae,,,Gunnera,tinctoria
Gypsophila elegans,accepted,77314,Gypsophila elegans,Gypsophila elegans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Caryophylleae,Gypsophila,elegans
Hedera colchica,accepted,163548,Hedera colchica,Hedera colchica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,,,Hedera,colchica
Helianthus x laetiflorus,accepted,56955,Helianthus,Helianthus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Helianthus,
Helianthus petiolaris,accepted,77360,Helianthus petiolaris,Helianthus petiolaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Helianthus,petiolaris
Helianthus petiolaris subsp. petiolaris,accepted,79934,Helianthus petiolaris petiolaris,Helianthus petiolaris petiolaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Helianthus,petiolaris
Heliopsis helianthoides,accepted,130382,Heliopsis helianthoides,Heliopsis helianthoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Heliopsis,helianthoides
Heliopsis helianthoides var. scabra,accepted,240988,Heliopsis helianthoides scabra,Heliopsis helianthoides scabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Heliopsis,helianthoides
Picris echioides,unaccepted,61906,Helminthotheca echioides,Helminthotheca echioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Helminthotheca,echioides
Hemerocallis fulva,accepted,126583,Hemerocallis fulva,Hemerocallis fulva,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asphodelaceae,Hemerocallidoideae,,Hemerocallis,fulva
Heracleum sphondylium,accepted,163682,Heracleum sphondylium,Heracleum sphondylium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Tordylieae,Heracleum,sphondylium
Herniaria glabra,accepted,163692,Herniaria glabra,Herniaria glabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Paronychieae,Herniaria,glabra
Heterotheca subaxillaris,accepted,77398,Heterotheca subaxillaris,Heterotheca subaxillaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Heterotheca,subaxillaris
Heterotheca subaxillaris subsp. subaxillaris,accepted,315522,Heterotheca subaxillaris subaxillaris,Heterotheca subaxillaris subaxillaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Heterotheca,subaxillaris
Hibiscus trionum,accepted,77411,Hibiscus trionum,Hibiscus trionum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Malvoideae,Hibisceae,Hibiscus,trionum
Hieracium inops,unknown,,,Hieracium × inops,,,,,,,,,,,,,,,,
Hippophae rhamnoides,accepted,163812,Hippophae rhamnoides,Hippophae rhamnoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Hippophae,rhamnoides
Hydrocotyle sibthorpioides,accepted,128684,Hydrocotyle sibthorpioides,Hydrocotyle sibthorpioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,Hydrocotyloideae,,Hydrocotyle,sibthorpioides
Hylotelephium erythrostictum,accepted,163907,Hylotelephium erythrostictum,Hylotelephium erythrostictum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Telephieae,Hylotelephium,erythrostictum
Hylotelephium telephioides,accepted,118744,Hylotelephium telephioides,Hylotelephium telephioides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Telephieae,Hylotelephium,telephioides
Hylotelephium telephium,accepted,84031,Hylotelephium telephium,Hylotelephium telephium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Telephieae,Hylotelephium,telephium
Hypericum canadense,accepted,155005,Hypericum canadense,Hypericum canadense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,canadense
Hypericum humifusum,accepted,163974,Hypericum humifusum,Hypericum humifusum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,humifusum
Hypericum kouytchense,accepted,402661,Hypericum kouytchense,Hypericum kouytchense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,kouytchense
Hypericum tetrapterum,accepted,207572,Hypericum tetrapterum,Hypericum tetrapterum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,tetrapterum
Iberis sempervirens,accepted,164028,Iberis sempervirens,Iberis sempervirens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Iberideae,Iberis,sempervirens
Ilex x altaclerensis,accepted,861032,Ilex,Ilex,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,
Illecebrum verticillatum,accepted,154802,Illecebrum verticillatum,Illecebrum verticillatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Polycarpeae,Illecebrum,verticillatum
Ionopsidium acaule,accepted,164074,Ionopsidium acaule,Ionopsidium acaule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,Brassicoideae,Cochlearieae,Ionopsidium,acaule
Ipomoea hederacea,accepted,77495,Ipomoea hederacea,Ipomoea hederacea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Ipomoeeae,Ipomoea,hederacea
Ipomoea purpurea,accepted,52344,Ipomoea purpurea,Ipomoea purpurea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Convolvulaceae,Convolvuloideae,Ipomoeeae,Ipomoea,purpurea
Iris germanica,unaccepted,709635,Iris × germanica,Iris × germanica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,
Iris versicolor,accepted,48726,Iris versicolor,Iris versicolor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,versicolor
Isolepis pseudosetacea,accepted,436600,Isolepis pseudosetacea,Isolepis pseudosetacea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Cyperaceae,Cyperoideae,Cypereae,Isolepis,pseudosetacea
Jasione montana,accepted,55022,Jasione montana,Jasione montana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Campanulaceae,Campanuloideae,,Jasione,montana
Juglans regia,accepted,63935,Juglans regia,Juglans regia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Juglandaceae,,,Juglans,regia
Kickxia spuria,accepted,64191,Kickxia spuria,Kickxia spuria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Kickxia,spuria
Kolkwitzia amabilis,accepted,52501,Kolkwitzia amabilis,Kolkwitzia amabilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Linnaeoideae,,Kolkwitzia,amabilis
Lamium maculatum,accepted,55828,Lamium maculatum,Lamium maculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,maculatum
Lavandula angustifolia,accepted,133395,Lavandula angustifolia,Lavandula angustifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Ocimeae,Lavandula,angustifolia
Leonurus quinquelobatus,accepted,603675,Leonurus quinquelobatus,Leonurus quinquelobatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Leonureae,Leonurus,quinquelobatus
Leucanthemella serotina,accepted,164646,Leucanthemella serotina,Leucanthemella serotina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemella,serotina
Levisticum officinale,accepted,59432,Levisticum officinale,Levisticum officinale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,,Levisticum,officinale
Liatris punctata,accepted,130379,Liatris punctata,Liatris punctata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Eupatorieae,Liatris,punctata
Ligustrum amurense,unaccepted,1230084,Ligustrum obtusifolium obtusifolium,Ligustrum obtusifolium obtusifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Oleaceae,,,Ligustrum,obtusifolium
Lilium lancifolium,accepted,49524,Lilium lancifolium,Lilium lancifolium,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Lilioideae,Lilieae,Lilium,lancifolium
Limnanthes douglasii,accepted,51336,Limnanthes douglasii,Limnanthes douglasii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Limnanthaceae,,,Limnanthes,douglasii
Linaria maroccana,accepted,52405,Linaria maroccana,Linaria maroccana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Linaria,maroccana
Linaria pinifolia,accepted,77777,Linaria pinifolia,Linaria pinifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Linaria,pinifolia
Lobelia erinus,accepted,77797,Lobelia erinus,Lobelia erinus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Campanulaceae,Lobelioideae,,Lobelia,erinus
Lobelia siphalitica,unknown,,,Lobelia siphilitica,,,,,,,,,,,,,,,,
Lolium persicum,accepted,164709,Lolium persicum,Lolium persicum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Lolium,persicum
Lonicera acuminata,accepted,603382,Lonicera acuminata,Lonicera acuminata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,acuminata
Lonicera caprifolium,accepted,51873,Lonicera caprifolium,Lonicera caprifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,caprifolium
Lonicera morrowii,accepted,59773,Lonicera morrowii,Lonicera morrowii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,morrowii
Lonicera xylosteum,accepted,124548,Lonicera xylosteum,Lonicera xylosteum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,xylosteum
Lupinus angustifolius,accepted,119661,Lupinus angustifolius,Lupinus angustifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,angustifolius
Lupinus depressus,accepted,164891,Lupinus depressus,Lupinus depressus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,depressus
Lupinus formusus,unknown,,,Lupinus formosus,,,,,,,,,,,,,,,,
Lupinus luteus,accepted,55440,Lupinus luteus,Lupinus luteus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,luteus
Lupinus nanus subsp. nanus,accepted,237117,Lupinus nanus nanus,Lupinus nanus nanus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,nanus
Luzula nivea,accepted,336659,Luzula nivea,Luzula nivea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,nivea
Lysimachia verticillaris,accepted,1304035,Lysimachia verticillaris,Lysimachia verticillaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Primulaceae,Myrsinoideae,,Lysimachia,verticillaris
