scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observation,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Acanthodoris atrogriseata,"O'Donoghue, 1927",,gray pilose dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,atrogriseata,NA,,NA,native,unlisted,NA,reported,unobserved,2008-06-15,Andy Lamb,PMLS,,NA,,,,"reported as Acanthodoris pilosa (Abildgaard in Müller, 1789)",1080211,MOL,accepted,1080211,Acanthodoris atrogriseata,Acanthodoris atrogriseata
Acanthodoris hudsoni,"MacFarland, 1905",,Hudson's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,hudsoni,NA,,NA,native,unlisted,NA,confirmed,observed,1994-10-23,Andy Lamb,PMLS,,NA,2009-11-15,Karin Fletcher,iNat:68751502,,48447,MOL,accepted,48447,Acanthodoris hudsoni,Acanthodoris hudsoni
Acanthodoris lutea,"MacFarland, 1925",,sandalwood dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,lutea,NA,,NA,native,unlisted,NA,new 2009,observed,,,,,NA,2009-11-14,Karin Fletcher,iNat:68751252,,47472,MOL,accepted,47472,Acanthodoris lutea,Acanthodoris lutea
Acanthodoris nanaimoensis,"O'Donoghue, 1921",,Nanaimo nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,nanaimoensis,NA,,NA,native,unlisted,NA,confirmed,observed,1994-10-07,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751127,,47476,MOL,accepted,47476,Acanthodoris nanaimoensis,Acanthodoris nanaimoensis
Acantholithodes hispidus,"(Stimpson, 1860)",,hairy-spined crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,NA,,NA,native,unlisted,NA,confirmed,observed,1994-09-10,Andy Lamb,PMLS,,NA,2007-10-23,Jackson W.F. Chu,iNat:59908564,,450310,ART,accepted,450310,Acantholithodes hispidus,Acantholithodes hispidus
Acarnus erithacus,"Laubenfels, 1927",,thick encrusting scarlet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,,Acarnus,erithacus,NA,,NA,native,unlisted,NA,reported,unobserved,2008-08-29,Andy Lamb,PMLS,,NA,,,,,63669,POR,accepted,63669,Acarnus erithacus,Acarnus erithacus
Acila castrensis,"(Hinds, 1843)",,nutclam or nutshell,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,,Acila,castrensis,NA,,NA,native,unlisted,NA,reported,unobserved,1961-05-13,Dan B. Quayle,RBCM,982-00207-002,1898323311,,,,,339158,MOL,accepted,339158,Acila castrensis,Acila castrensis
Acipenser transmontanus,"Richardson, 1836",,white sturgeon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Acipenseriformes,,,Acipenseridae,,,Acipenser,transmontanus,,,,native,S2 (2018),1-E,new 2023,observed,,,,,,2023-06-24,"Dave ""Zeuss"" Cochrane",iNat:169325429,,93194,FIS,accepted,93194,Acipenser transmontanus,Acipenser transmontanus
Acmaea mitra,"Rathke, 1833",,whitecap limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Acmaeidae,,,Acmaea,mitra,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2019-05-04,Isabelle M. Côté,iNat:129284370,,47676,MOL,accepted,47676,Acmaea mitra,Acmaea mitra
Acteocina culcitella,"(Gould, 1853)",,pillow barrel-bubble,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Bulloidea,Tornatinidae,,,Acteocina,culcitella,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03320,1898315360,,,,,49788,MOL,accepted,49788,Acteocina culcitella,Acteocina culcitella
Adalaria proxima,"(Alder & Hancock, 1854)",,white adalaria,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Adalaria,proxima,NA,,NA,native,unlisted,NA,new 2009,observed,,,,,NA,2009-11-15,Karin Fletcher,iNat:68751504,,508396,MOL,accepted,508396,Adalaria proxima,Adalaria proxima
Aegires albopunctatus,"MacFarland, 1905",,salt-and-pepper nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Aegiridae,,,Aegires,albopunctatus,NA,,NA,native,unlisted,NA,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,NA,2018-06-18,Karin Fletcher,iNat:68752645,,48981,MOL,accepted,48981,Aegires albopunctatus,Aegires albopunctatus
Aeolidia loui,"Kienberger, Carmona, Pola, Padula, Gosliner & Cervera, 2016",,shag-rug nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,Aeolidia,loui,NA,,NA,native,unlisted,NA,new 2016,observed,,,,,NA,2016-04-01,Karolle Wall,iNat:14385958,,498117,MOL,accepted,498117,Aeolidia loui,Aeolidia loui
