"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Alces alces","Linnaeus, 1758","","moose","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Capreolinae","Alceini","Alces","alces",,"",,"native","S5 (2015)","","2008-12-06","Joe Holubar","iNaturalist","49196089",2641579699,"2023-06-18","Kat Kodiak","iNaturalist","168355030",4138638556,13,"confirmed","observed",,522193,"MAM"
"Aplodontia rufa","Rafinesque, 1817","","mountain beaver","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Euarchontoglires","Rodentia","Sciuromorpha","","Aplodontiidae","","","Aplodontia","rufa",,"",,"native","S4","","1925-11-25","","UWBM","UWBM:Mamm:18838",1702667031,"1925-11-25","","UWBM","UWBM:Mamm:18838",1702667031,1,"reported","unobserved",,43736,"MAM"
"Callospermophilus lateralis","(Say, 1823)","","golden-mantled ground squirrel","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Euarchontoglires","Rodentia","Sciuromorpha","","Sciuridae","Xerinae","Marmotini","Callospermophilus","lateralis",,"",,"native","S5? (2015)","","1943-06-13","Munro, JA","ROM","28580",1211862399,"1943-06-13","Munro, JA","ROM","28580",1211862399,3,"reported","unobserved",,180010,"MAM"
"Canis latrans","Say, 1823","","coyote","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Canidae","","","Canis","latrans",,"",,"native","S5 (2015)","","1930-12-01","J. Ronayne","UBCBBM","M006157",1292001409,"2023-10-29","Hunter Hammil","iNaturalist","189467206",4436470381,610,"confirmed","observed",,42051,"MAM"
"Canis lupus","Linnaeus, 1758","","grey wolf","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Carnivora","","","Canidae","","","Canis","lupus",,"",,"native","S4S5 (2015)","","1910-04-01","","MVZ","MVZ:Mamm:12454",1145692688,"2022-08-27","Brian Starzomski","iNaturalist","134533884",3903579580,22,"confirmed","observed",,42048,"MAM"
"Castor canadensis","Kuhl, 1820","","Canadian beaver","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Euarchontoglires","Rodentia","Castorimorpha","","Castoridae","","","Castor","canadensis",,"",,"native","S5","","1800-01-01","Collector(s): Woodland Park Zoo","UWBM","UWBM:Mamm:19681",1702667478,"2023-10-31","Marcel","iNaturalist","189592645",4436286264,773,"confirmed","observed",,43794,"MAM"
"Cervus canadensis canadensis","(Erxleben, 1777)","","American elk","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Cervinae","Cervini","Cervus","canadensis",,"",,"native","S5 (2015)","","1953-06-19","R.W. Pillsbury","UBCBBM","M004489",1291999771,"2023-10-08","jacobsmallboy","iNaturalist","186869532",4424557716,85,"confirmed","observed",,564777,"MAM"
"Cervus canadensis roosevelti","(Erxleben, 1777)","Merriam, 1897","Roosevelt elk","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Artiodactyla","Ruminantia","","Cervidae","Cervinae","Cervini","Cervus","canadensis",,"roosevelti",,"native","S3S4 (2017)","","2004-07-19","Ken McMillan","iNaturalist","14649197",1883946261,"2023-10-19","Adam Taylor","iNaturalist","188725518",4431254412,132,"confirmed","observed",,566550,"MAM"
"Clethrionomys gapperi","(Vigors, 1830)","","southern red-backed vole","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Clethrionomyini","Clethrionomys","gapperi",,"",,"native","S5 (2015)","","1910-04-22","Collector(s): Annie M. Alexander","MVZ","MVZ:Mamm:12310",1145691035,"2023-07-13","Senna Bryce Robeson","iNaturalist","172870596",4162492600,95,"confirmed","observed",,1431274,"MAM"
"Clethrionomys gapperi occidentalis","(Vigors, 1830)","(Merriam, 1890)","southern red-backed vole, western subspecies","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Clethrionomyini","Clethrionomys","gapperi",,"occidentalis",,"native","S1 (2006)","","1946-09-30","M.J. Carter  H.D. Fisher","UBCBBM","M001974",1291997252,"1946-09-30","M.J. Carter  H.D. Fisher","UBCBBM","M001974",1291997252,1,"reported","unobserved",,1431805,"MAM"
