scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,provincial_status,provincial_status_norm,bc_list,residencyStatus,national_status,national_status_clean,national_status_norm,national_status_check
Belonidium pruinosum,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Lachnaceae,,,Belonidium,pruinosum,,,,accepted,1031404,Belonidium pruinosum,Belonidium pruinosum,,NA,NA,NA,,,NA,FALSE
Bertia moriformis,,Wood Mulberry,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Coronophorales,,,,Bertiaceae,,,Bertia,moriformis,,,,accepted,381382,Bertia moriformis,Bertia moriformis,,NA,NA,NA,,,NA,FALSE
Cirrenalia macrocephala,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Microascales,,,,Halosphaeriaceae,,,Cirrenalia,macrocephala,,,,accepted,1040645,Cirrenalia macrocephala,Cirrenalia macrocephala,,NA,NA,NA,,,NA,FALSE
Costantinella micheneri,,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Morchellaceae,,,Costantinella,micheneri,,,,accepted,382016,Costantinella micheneri,Costantinella micheneri,,NA,NA,NA,,,NA,FALSE
Curreya pithyophila,,Nymph Leech,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,,Didymosphaeriaceae,,,Curreya,pithyophila,,,,accepted,1612339,Curreya pithyophila,Curreya pithyophila,,NA,NA,NA,,,NA,FALSE
Dictyosporium pelagicum,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,,Dictyosporiaceae,,,Dictyosporium,pelagicum,,,,accepted,350677,Dictyosporium pelagicum,Dictyosporium pelagicum,,NA,NA,NA,,,NA,FALSE
Geoglossum nigritum,,,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Geoglossales,,,,Geoglossaceae,,,Geoglossum,nigritum,,,,accepted,194559,Geoglossum nigritum,Geoglossum nigritum,,NA,NA,NA,,,NA,FALSE
Haligena elaterophora,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Microascales,,,,Halosphaeriaceae,,,Haligena,elaterophora,,,,accepted,1223101,Haligena elaterophora,Haligena elaterophora,,NA,NA,NA,,,NA,FALSE
Humicola alopallonella,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Sordariomycetidae,,Sordariales,,,,Chaetomiaceae,,,Humicola,alopallonella,,,,accepted,1223310,Humicola alopallonella,Humicola alopallonella,,NA,NA,NA,,,NA,FALSE
Hymenoscyphus fraternus,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Helotiaceae,,,Hymenoscyphus,fraternus,,,,accepted,1198527,Hymenoscyphus fraternus,Hymenoscyphus fraternus,,NA,NA,NA,,,NA,FALSE
Lasiobolus ciliatus,,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Ascodesmidaceae,,,Lasiobolus,ciliatus,,,,accepted,1647191,Lasiobolus ciliatus,Lasiobolus ciliatus,,NA,NA,NA,,,NA,FALSE
Lignincola laevis,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Microascales,,,,Halosphaeriaceae,,,Lignincola,laevis,,,,accepted,351402,Lignincola laevis,Lignincola laevis,,NA,NA,NA,,,NA,FALSE
Ophiobolus acuminatus,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,,Phaeosphaeriaceae,,,Ophiobolus,acuminatus,,,,accepted,1004186,Ophiobolus acuminatus,Ophiobolus acuminatus,,NA,NA,NA,,,NA,FALSE
Phyllachora graminis,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Sordariomycetidae,,Phyllachorales,,,,Phyllachoraceae,,,Phyllachora,graminis,,,,accepted,628454,Phyllachora graminis,Phyllachora graminis,,NA,NA,NA,,,NA,FALSE
Remispora maritima,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Microascales,,,,Halosphaeriaceae,,,Remispora,maritima,,,,accepted,1303519,Remispora maritima,Remispora maritima,,NA,NA,NA,,,NA,FALSE
Remispora stellata,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Microascales,,,,Halosphaeriaceae,,,Remispora,stellata,,,,accepted,1303525,Remispora stellata,Remispora stellata,,NA,NA,NA,,,NA,FALSE
Sporormiella australis,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,,Sporormiaceae,,,Sporormiella,australis,,,,accepted,384379,Sporormiella australis,Sporormiella australis,,NA,NA,NA,,,NA,FALSE
Zalerion maritima,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,,,,,,,,,,Zalerion,maritima,,,,accepted,1223274,Zalerion maritima,Zalerion maritima,,NA,NA,NA,,,NA,FALSE
