scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observationStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Ascaphus truei,"(Stejneger, 1899)",,coastal tailed frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ascaphidae,,,Ascaphus,truei,,,,native,S4 (2022),1-SC (2003),confirmed,observed,1942-06-03,I.McT. Cowan/ G.C. Carl,UBCBBM,H000248,1291993793,2010-07-10,Jason Addy,https://www.inaturalist.org/observations/174977944,,24543,HER
Anaxyrus boreas,"(Baird and Girard, 1852)",,western toad,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,Anaxyrus,boreas,,,,native,S4 (2022),1-SC (2018),confirmed,observed,1898-01-01,,USNM,USNM 57604,1319316685,2007-05-27,hillanddale,https://www.inaturalist.org/observations/9551112,,64970,HER
Pseudacris regilla,"(Baird & Girard, 1852)",,northern Pacific tree frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,Acridinae,,Pseudacris,regilla,,,,native,S5 (2016),,confirmed,observed,1818-06-20,,MVZ,MVZ:Herp:16959,1145474099,2000-01-28,Jessica,https://www.inaturalist.org/observations/80041564,,24259,HER
Lithobates catesbeianus,"(Shaw, 1802)",,American bullfrog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Lithobates,catesbeianus,,,,exotic,SNA (2021),,confirmed,observed,1941-07-08,I.McT. Cowan,UBCBBM,H001126,1291994620,2000-01-28,Jessica,https://www.inaturalist.org/observations/80041556,,65979,HER
Lithobates clamitans,"(Latreille, 1801)",,green frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Lithobates,clamitans,,,,exotic,SNA (2021),,confirmed,observed,1963-06-20,"Cook, Dr. Francis R.  ; Cook, Joyce C. ; Powell, C. Bruce ; Carl, G. Clifford ; Rangel, J.R.",CMN,CMNAR 7198,1804111177,2000-02-10,Jessica,https://www.inaturalist.org/observations/82073658,,65982,HER
Lithobates pipiens,"(Schreber, 1782)",,northern leopard frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Lithobates,pipiens,,,,native,S1 (2021),1-E (2003),reported,unobserved,1965-03-29,B. Mide,UBCBBM,H001450,1291994957,,,,,66003,HER
Lithobates sylvaticus,"(LeConte, 1825)",,wood frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Lithobates,sylvaticus,,,,native,S4S5 (2022),,reported,unobserved,1965-07-30,"Cook, Dr. Francis R.  ; Powell, C. Bruce",CMN,CMNAR 8663,1804131360,,,,,66012,HER
Rana aurora,"Baird and Girard, 1852",,northern red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Rana,aurora,,,,native,S3 (2022),1-SC (2005),confirmed,observed,1818-06-20,,MVZ,MVZ:Herp:16957,1145474062,1998-04-16,graeme45,https://www.inaturalist.org/observations/70098048,,25545,HER
Rana luteiventris,"Thompson, 1913",,Columbia spotted frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Rana,luteiventris,,,,native,S4S5 (2022),,confirmed,observed,1926-09-01,G.M. Smith,UBCBBM,H000437,1291994021,2020-06-03,Chloe and Trevor Van Loon,https://www.inaturalist.org/observations/48510591,,25588,HER
Rana pretiosa,"Baird & Girard, 1853",,Oregon spotted frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Rana,pretiosa,,,,native,S1 (2022),1-E (2003),reported,unobserved,1951-03-28,G.S.,UBCBBM,H001048,1291994580,,,,,25542,HER
