"","Taxon","Reported","Confirmed","New","Total","Prop.confirmed","Prop.new","new.2015","new.2016","new.2017","new.2018","new.2019","new.2020","new.2021","new.prior.2015"
"1","Bacteria",0,0,4,4,NA,1,0,2,2,0,0,0,0,0
"2","Protozoa",4,3,24,31,0.428571428571429,0.774193548387097,0,2,10,1,3,1,2,5
"3","Fungi",254,149,79,482,0.369727047146402,0.163900414937759,4,9,12,14,12,9,16,3
"4","Lichens",60,111,93,264,0.649122807017544,0.352272727272727,16,13,37,12,0,4,9,2
"5","Algae",68,36,123,227,0.346153846153846,0.541850220264317,3,4,3,0,23,3,3,84
"6","Bryophytes",35,96,48,179,0.732824427480916,0.268156424581006,1,8,12,9,1,11,4,2
"7","Vascular plants",135,462,155,752,0.773869346733668,0.206117021276596,11,37,41,18,20,20,5,3
"8","Sponges",34,5,1,40,0.128205128205128,0.025,0,0,0,0,0,0,0,1
"9","Cnidarians and Ctenophores",51,25,5,81,0.328947368421053,0.0617283950617284,0,2,0,0,0,1,1,1
"10","Worms",38,15,3,56,0.283018867924528,0.0535714285714286,0,0,1,0,2,0,0,0
"11","Molluscs",112,65,53,230,0.367231638418079,0.230434782608696,4,14,4,5,6,1,2,17
"12","Arthropods",452,192,597,1241,0.298136645962733,0.481063658340048,10,68,153,128,155,22,37,24
"13","Lophophores",16,4,0,20,0.2,0,0,0,0,0,0,0,0,0
"14","Echinoderms",22,18,1,41,0.45,0.024390243902439,0,0,0,0,0,0,0,1
"15","Tunicates",26,5,2,33,0.161290322580645,0.0606060606060606,0,0,0,0,0,0,0,2
"16","Fish",34,43,6,83,0.558441558441558,0.072289156626506,0,1,3,0,0,1,1,0
"17","Herptiles",1,5,6,12,0.833333333333333,0.5,0,5,1,0,0,0,0,0
"18","Birds",48,133,5,186,0.734806629834254,0.0268817204301075,0,1,1,0,1,2,0,0
"19","Mammals",6,14,22,42,0.7,0.523809523809524,1,4,2,10,1,2,1,1
"20","TOTAL",1396,1381,1227,4004,0.497299243788261,0.306443556443556,50,170,282,197,224,77,81,146
