"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observationStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Ambystoma gracile","(Baird, 1859)","","northwestern salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Ambystomatidae","",,"Ambystoma","gracile",,"",,"native","S4S5 (2016)","","confirmed","observed","1818-06-20","","MVZ","MVZ:Herp:16949","1145473987","2006-07-23","Royal BC Museum","https://www.inaturalist.org/observations/61257604","","26747","HER"
"Ambystoma macrodactylum","Baird, 1950","","long-toed salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Ambystomatidae","",,"Ambystoma","macrodactylum",,"",,"native","S5 (2016)","","confirmed","observed","1818-06-20","","MVZ","MVZ:Herp:16956","1145474086","2006-09-04","Lyrae","https://www.inaturalist.org/observations/76301382","","26754","HER"
"Dicamptodon tenebrosus","(Baird and Girard, 1852)","","coastal giant salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Ambystomatidae","",,"Dicamptodon","tenebrosus",,"",,"native","S2S3 (2022)","1-T (2003)","confirmed","observed","1957-08-24","S. Dodge","LACM","84544","657426880","2013-05-15","Sara Brooke Benjamin","http://www.inaturalist.org/observations/1098266","","26822","HER"
"Aneides vagrans","Wake & Jackman, 1998","","wandering salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Plethodontidae","Plethodontinae",,"Aneides","vagrans",,"",,"native","S3 (2022)","1-SC (2018)","confirmed","observed","1904-06-01","J. Keen","RBCM","145","1986821575","2014-04-06","Paul Westell","https://www.inaturalist.org/observations/149081215","","248672","HER"
"Ensatina eschscholtzii","Gray, 1850","","ensatina","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Plethodontidae","Plethodontinae",,"Ensatina","eschscholtzii",,"",,"native","S4 (2022)","","confirmed","observed","1920-06-24","E.C. Van Dyke","CAS","48915",,"2006-05-16","Ken McMillan","https://www.inaturalist.org/observations/14690555","","27250","HER"
"Plethodon vehiculum","(Cooper, 1860)","","western red-backed salamander","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Plethodontidae","Plethodontinae",,"Plethodon","vehiculum",,"",,"native","S4 (2022)","","confirmed","observed","1901-05-04","","USNM","USNM 29616","1321194750","2003-02-17","Veronica Wahl","https://www.inaturalist.org/observations/17539660","","27194","HER"
"Taricha granulosa","(Skilton, 1849)","","rough-skinned newt","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Caudata","","","Salamandridae","Pleurodelinae",,"Taricha","granulosa",,"",,"native","S4S5 (2016)","","confirmed","observed","1818-06-20","","MVZ","MVZ:Herp:16954","1145474085","1997-05-17","Steve Ansell","https://www.inaturalist.org/observations/108222393","","27826","HER"
"Elgaria coerulea","(Wiegmann, 1828)","","northern alligator lizard","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Sauria","","Anguidae","Gerrhonotinae",,"Elgaria","coerulea",,"",,"native","S4 (2018)","","confirmed","observed","1818-06-20","","MVZ","MVZ:Herp:16960","1145474161","1997-03-01","Steve Ansell","https://www.inaturalist.org/observations/108222328","","32064","HER"
"Podarcis muralis","(Laurenti, 1768)","","common wall lizard","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Sauria","","Lacertidae","",,"Podarcis","muralis",,"",,"exotic","SNA (2018)","","confirmed","observed","2001-07-12","David Cunnington & Kathy Paige","LACM","153118","657495491","2005-04-21","gavinh","https://www.inaturalist.org/observations/32170084","","55990","HER"
"Sceloporus occidentalis","Baird and Girard, 1852","","western fence lizard","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Sauria","","Phrynosomatidae","",,"Sceloporus","occidentalis",,"",,"exotic","unlisted","","new 2020","observed","","","","",,"2020-05-23","sculpin_saves","https://www.inaturalist.org/observations/47077052","","36204","HER"
"Plestiodon skiltonianus","Baird & Girard, 1852","","western skink","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Sauria","","Scincidae","Scincinae",,"Plestiodon","skiltonianus",,"",,"native","S3S4 (2018)","1-SC (2005)","reported","unobserved","2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","",,"","","","","37769","HER"
"Charina bottae","(Blainville, 1835)","","northern rubber boa","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Boidae","",,"Charina","bottae",,"",,"native","S4 (2018)","1-SC (2005)","confirmed","observed","1818-06-20","","MVZ","MVZ:Herp:16964","1145474208","2010-07-03","akopitov","https://www.inaturalist.org/observations/111739032","","243962","HER"
"Coluber constrictor","Linnaeus, 1758","","North American racer","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","",,"Coluber","constrictor",,"",,"native","S2S3 (2018)","1-T (2023)","confirmed","observed","1964-06-03","MacDonald, Stewart D.","CMN","CMNAR 7923","1804115767","2023-07-02","Ben Keen","https://www.inaturalist.org/observations/170750641","","27137","HER"
"Contia tenuis","(Baird & Girard,1852)","","sharp-tailed snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Dipsadinae",,"Contia","tenuis",,"",,"native","S1S2 (2018)","1-E (2003)","confirmed","observed","1800-01-01","Collector(s): unknown","UWBM","UWBM:Herp:2317","1146413164","2007-04-05","Doug McCutchen","https://www.inaturalist.org/observations/175281075","","26916","HER"
"Pituophis catenifer catenifer","(Blainville, 1835)","","gopher snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Colubrinae",,"Pituophis","catenifer",,"catenifer",,"extirpated","SX (2018)","","confirmed","observed","1957-07-01","","OMNH","29149.0","894763135","2019-06-11","jessicakirkwood","https://www.inaturalist.org/observations/26849039","extirpated as of 2012","29044","HER"
"Pituophis catenifer deserticola","(Blainville, 1835)","Stejneger, 1893","gopher snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Colubrinae",,"Pituophis","catenifer",,"deserticola",,"native","S3 (2018)","1-T (2005)","confirmed","observed","1964-07-26","MacDonald, Stewart D.","CMN","CMNAR 8136","1804133545","2009-08-01","Brian Starzomski","https://www.inaturalist.org/observations/15594957","","29049","HER"
"Thamnophis elegans","(Baird & Girard, 1853","","wandering garter snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Natricinae",,"Thamnophis","elegans",,"",,"native","S5 (2018)","","confirmed","observed","1885-01-01","Dawson, George Mercer","CMN","CMNAR 2","1804122396","2006-09-07","Sean Daniels","https://www.inaturalist.org/observations/64749864","","28403","HER"
"Thamnophis ordinoides","(Baird & Girard, 1852)","","northwestern garter snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Natricinae",,"Thamnophis","ordinoides",,"",,"native","S4 (2018)","","confirmed","observed","1818-06-20","","MVZ","MVZ:Herp:17000","1145474643","1998-07-12","graeme45","https://www.inaturalist.org/observations/70112227","","28389","HER"
"Thamnophis sirtalis fitchi","(Linnaeus, 1758)","Fox, 1951","valley garter snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Natricinae",,"Thamnophis","sirtalis",,"fitchi",,"native","S5 (2018)","","confirmed","observed","1976-09-09","Schueler, Frederick W. IV","CMN","CMNAR 18650","1804106625","2007-06-02","Larry Cowan","https://www.inaturalist.org/observations/143458220","","28371","HER"
"Thamnophis sirtalis pickeringii","(Linnaeus, 1758)","(Baird & Girard, 1853)","Puget Sound garter snake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Colubridae","Natricinae",,"Thamnophis","sirtalis",,"pickeringii",,"native","S5 (2018)","","confirmed","observed","1940-07-01","Collector(s): Wilmer W. Tanner","BYU","BYU:Herp:3525","3864875760","2004-07-18","Ken McMillan","https://www.inaturalist.org/observations/14658885","","28363","HER"
"Crotalus oreganus","Holbrook, 1840","","western rattlesnake","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Squamata","Serpentes","","Viperidae","",,"Crotalus","oreganus",,"",,"native","S2S3 (2018)","1-T (2005)","reported","unobserved","1964-09-06","Lehman, Albert","CMN","CMNAR 8214","1804110008","","","","","48268","HER"
"Lepidochelys olivacea","(Eschscholtz, 1829)","","olive ridley sea turtle","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Testudines","Cryptodira","Chelonioidea","Cheloniidae","",,"Lepidochelys","olivacea",,"",,"accidental","SNA (2018)","","new 2019","observed","","","","",,"2019-09-30","gavinh","https://www.inaturalist.org/observations/33769285","","39670","HER"
"Actinemys marmorata","(Baird and Girard, 1852)","","western pond turtle","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Testudines","Cryptodira","","Emydidae","Emydinae",,"Actinemys","marmorata",,"",,"extirpated","SX (2018)","","reported","unobserved","2020-07-01","LGL Limited, Environmental Research Associates, Sidney, BC","UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices","",,"","","","extirpated as of 2012","73592","HER"
"Chrysemys picta","(Schneider, 1783)","","painted turtle","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Testudines","Cryptodira","","Emydidae","Deirochelyinae",,"Chrysemys","picta",,"",,"native","S1S2 (2018)","1-T (2021)","confirmed","observed","2009-04-17","Kristiina Ovaska; Christian Engelstoft","RBCM","1973","1986822069","2007-08-30","Lyrae","https://www.inaturalist.org/observations/76301381","","39771","HER"
"Trachemys scripta","(Thunberg In Schoepff, 1792)","","common slider","Animalia","Chordata","Vertebrata",,"Reptilia",,,"Testudines","Cryptodira","","Emydidae","Deirochelyinae",,"Trachemys","scripta",,"",,"exotic","SNA (2018)","","confirmed","observed","2012-02-16","John Creviston","RBCM","1994","1986822134","2003-03-25","Veronica Wahl","https://www.inaturalist.org/observations/17539664","","39782","HER"
"Pituophis catenifer","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Colubridae","","","Pituophis","","","","","","","","","","1957-07-01","","OMNH","29149.0","894763135","","","","","",""
"Thamnophis thamnophis","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Colubridae","","","Thamnophis","","","","","","","","","","1965-05-24","","PSM","Herp-10107","812636275","","","","","",""
"Bufo boreas","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Bufonidae","","","Anaxyrus","","","","","","","","","","1929-07-04","","PSM","Herp-01048","812629383","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153118","657495491","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153117","657495490","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153116","657495489","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153115","657495488","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153114","657495487","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153113","657495486","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153112","657495460","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153111","657495459","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153110","657495458","","","","","",""
"Podarcis muralis maculiventris","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2001-07-12","David Cunnington & Kathy Paige","LACM","153109","657495457","","","","","",""
"Dicamptodon ensatus","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Ambystomatidae","","","Dicamptodon","","","","","Native","","","","","1957-08-24","S. Dodge","LACM","84547","657426883","","","","","",""
"Dicamptodon ensatus","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Ambystomatidae","","","Dicamptodon","","","","","Native","","","","","1957-08-24","S. Dodge","LACM","84546","657426882","","","","","",""
"Dicamptodon ensatus","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Ambystomatidae","","","Dicamptodon","","","","","Native","","","","","1957-08-24","S. Dodge","LACM","84545","657426881","","","","","",""
"Dicamptodon ensatus","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Ambystomatidae","","","Dicamptodon","","","","","Native","","","","","1957-08-24","S. Dodge","LACM","84544","657426880","","","","","",""
"Elgaria coerulea principis","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Anguidae","","","Elgaria","","","","","","","","","","1895-07-24","J.M. Edson","CAS","3350","543738188","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2637","543708396","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2636","543708395","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2635","543708394","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2634","543708393","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2633","543708392","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2632","543708391","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2631","543708390","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2630","543708389","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2629","543708387","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2628","543708386","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2627","543708385","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2626","543708384","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2625","543708383","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2624","543708382","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2623","543708381","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2622","543708380","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2621","543708379","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","2620","543708378","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1628","543699255","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1627","543699244","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1626","543699233","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1625","543699222","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1624","543699211","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1623","543699200","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder and V. Burke","CAS","1622","543699189","","","","","",""
"Bufo boreas boreas","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Bufonidae","","","Anaxyrus","","","","","","","","","","1944-08-10","A.W.C.T. Herre","CAS","11009","543693400","","","","","",""
"Ensatina eschscholtzii oregonensis","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Ensatina","","","","","","","","","","1920-06-24","E.C. Van Dyke","CAS","48915","543635527","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder","CAS","13307","543477895","","","","","",""
"Aneides vagrans","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Plethodontidae","","","Aneides","","","","","","","","","","1906-05-16","J.O. Snyder","CAS","13306","543477884","","","","","",""
"Thamnophis sirtalis concinnus (Hallowell, 1852)","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Colubridae","","","Thamnophis","","","","","","","","","","1916-07-01","Dr. Cottop","MCZ","R-32513","476643131","","","","","",""
"Ambystoma gracile decorticatum","","","","Animalia","Chordata","","","Amphibia","","","Caudata","","","Ambystomatidae","","","Ambystoma","","","","","","","","","","1941-08-20","R. Kellogg","MCZ","A-30609","476607628","","","","","",""
"Rana aurora aurora Baird and Girard, 1852","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Ranidae","","","Rana","","","","","","","","","","1968-05-18","Ronald A. Nussbaum","MCZ","A-135287","476563557","","","","","",""
"Thamnophis sirtalis pickeringii","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Colubridae","","","Thamnophis","","","","","","","","","","1940-07-01","Collector(s): Wilmer W. Tanner","BYU","BYU:Herp:3525","3864875760","","","","","",""
"Thamnophis sirtalis pickeringii","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Colubridae","","","Thamnophis","","","","","","","","","","1940-07-01","Collector(s): Wilmer W. Tanner","BYU","BYU:Herp:3524","3864872985","","","","","",""
"Thamnophis sirtalis pickeringii","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Colubridae","","","Thamnophis","","","","","","","","","","1940-07-01","Collector(s): Wilmer W. Tanner","BYU","BYU:Herp:2923","3864857683","","","","","",""
"Podarcis siculus","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2019-07-11","Max Lambert and Nora Hawkins","LACM","","3341486489","","","","","",""
"Podarcis siculus","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2019-07-11","Max Lambert and Nora Hawkins","LACM","","3341483318","","","","","",""
"Podarcis siculus","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Lacertidae","","","Podarcis","","","","","Native","","","","","2019-07-11","Max Lambert and Nora Hawkins","LACM","","3341471477","","","","","",""
"Elgaria coerulea Wiegmann, 1828","","","","Animalia","Chordata","","","Reptilia","","","Squamata","","","Anguidae","","","Elgaria","","","","","","","","","","2006-08-01","","UVIC","06.11","3329070067","","","","","",""
"Lithobates catesbeiana (Shaw, 1802)","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Ranidae","","","Lithobates","","","","","","","","","","2000-11-08","","UVIC","01.63","3329069824","","","","","",""
"Lithobates catesbeiana (Shaw, 1802)","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Ranidae","","","Lithobates","","","","","","","","","","2000-11-08","","UVIC","01.64","3329069823","","","","","",""
"Rana aurora Baird & Girard, 1852","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Ranidae","","","Rana","","","","","","","","","","1992-10-19","","UVIC","93.22","3329069320","","","","","",""
"Thamnophis ordinoides (Baird & Girard, 1852)","","","","Animalia","Chordata","","","Squamata","","","","","","Colubridae","","","Thamnophis","","","","","","","","","","1929-01-01","Gilson","RBINS-Scientific Heritage","2823","3025616935","","","","","",""
"Thamnophis ordinoides (Baird & Girard, 1852)","","","","Animalia","Chordata","","","Squamata","","","","","","Colubridae","","","Thamnophis","","","","","","","","","","1929-01-01","Gilson","RBINS","2823","3024553174","","","","","",""
"Hyla regilla","","","","Animalia","Chordata","","","Amphibia","","","Anura","","","Hylidae","","","Pseudacris","","","","","","","","","","1964-07-22","Unknown","TNHC","109707","2819890419","","","","","",""
