Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Congregatocarpus kurilensis,(Ruprecht) M.J.Wynne,,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,Delesserioideae,,Congregatocarpus,kurilensis,,,,,unlisted,unlisted,reported,unobserved,2006-09-29,Andy Lamb,PMLS,PMLS2021:1200,,,,,,1424968,ALG
Constantinea simplex,Setchell,,cup and saucer seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Constantinea,simplex,,,,,unlisted,unlisted,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,PMLS2021:1067,,,,,,345231,ALG
Constantinea subulifera,Setchell,,giant cup and saucer seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Constantinea,subulifera,,,,,unlisted,unlisted,confirmed,observed,2016-02-07,Andy Lamb,PMLS,PMLS2021:2221,,2019-05-05,Bridgette Clarkston,iNat:25927075,,473053,ALG
Corallina vancouveriensis,Yendo,,graceful coralline,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Corallinophycidae,,Corallinales,,,Corallinaceae,,,Corallina,vancouveriensis,,,,,unlisted,unlisted,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,PMLS2021:1066,,,,,,126448,ALG
Corethron hystrix,Hensen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Corethrales,,,Corethraceae,,,Corethron,hystrix,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-06,Mark Webber,iNat:49989060,,484134,ALG
Coscinodiscus granii,L.F. Gough,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,granii,,,,,unlisted,unlisted,new 2009,observed,,,,,,2009-08-02,Mark Webber,iNat:9291001,,570485,ALG
Coscinodiscus radiatus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,radiatus,,,,,unlisted,unlisted,new 2009,observed,,,,,,2009-12-15,Mark Webber,iNat:40704549,,424382,ALG
Coscinodiscus wailesii,Gran & Angst,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,wailesii,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-09-18,Mark Webber,iNat:44884072,,549788,ALG
Costaria costata,(C. Agardh) De A. Saunders,,seersucker kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,Costaria,costata,,,,,unlisted,unlisted,new 2017,observed,1993-05-09,Charlie Gibbs,PMLS,PMLS2021:185,,2017-04-08,Tyrel Froese,iNat:5620533,,125877,ALG
Cothurnia sp.,,,ciliate,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Vaginicolidae,,,Cothurnia,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:180,,,,,,335414,ALG
Cryptonemia obovata,J.Agardh 1876,,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Halymeniales,,,Halymeniaceae,,,Cryptonemia,obovata,,,,,unlisted,unlisted,new 2023,unobserved,2023-05-27,Zach Montieth,Lindstrom 2023,17883,,,,,,345216,ALG
Cryptopleura ruprechtiana,(J.Agardh) Kylin,,hidden rib,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,,Cryptopleureae,Cryptopleura,ruprechtiana,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,iNat:25861039,,327014,ALG
Cryptosiphonia woodii,(J.Agardh) J.Agardh,,dark branching-tube seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Cryptosiphonia,woodii,,,,,unlisted,unlisted,new 2019,observed,2009-03-20,Andy Lamb,PMLS,PMLS2021:1744,,2019-05-04,John D Reynolds,iNat:24708735,,117777,ALG
Cumathamnion decipiens,(J.Agardh) M.J.Wynne & G.W.Saunders,,winged rib,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,,,Cumathamnion,decipiens,,,,,unlisted,unlisted,confirmed,observed,2006-09-28,Andy Lamb,PMLS,PMLS2021:1175,,2021-03-13,Dave Zeuss Cochrane,iNat:71178850,reported as Delesseria decipiens,496909,ALG
Cyclotella choctawhatcheeana,Prasad,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Stephanodiscales,,,Stephanodiscaceae,,,Cyclotella,choctawhatcheeana,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:141,,,,,,989649,ALG
Cyclotella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Stephanodiscales,,,Stephanodiscaceae,,,Cyclotella,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,iNat:49991081,,345199,ALG
Cyclotella stylorum,Brightwell,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Stephanodiscales,,,Stephanodiscaceae,,,Cyclotella,stylorum,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:139,,,,,,345862,ALG
Cylindrotheca closterium,(Ehrenberg) Reimann & J.C.Lewin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Cylindrotheca,closterium,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,iNat:5197566,,203739,ALG
Cymathaere triplicata,(Postels & Ruprecht) J.Agardh,,three-ribbed kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,Cymathaere,triplicata,,,,,unlisted,unlisted,reported,unobserved,2008-08-29,Andy Lamb,PMLS,PMLS2021:523,,,,,"Possible, no photo to check",429947,ALG
Cymbella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Cymbellaceae,,,Cymbella,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-10,Mark Webber,iNat:5197569,,123878,ALG
Dactyliosolen fragilissimus,(Bergon) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Dactyliosolen,fragilissimus,,,,,unlisted,unlisted,new 2020,observed,,,,,,2020-04-25,Mark Webber,iNat:50047033,,429201,ALG
Desmarestia aculeata,(Linnaeus) J.V.Lamouroux,,wiry acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,aculeata,,,,,unlisted,unlisted,reported,unobserved,1973-10-03,Sandra C. Lindstrom,UBC,A84175,,,,,"possible, no photo to check",182896,ALG
Desmarestia herbacea,(Turner) J.V.Lamouroux,,colour changer,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,herbacea,,,,,unlisted,unlisted,new 2009,observed,,,,,,2009-07-08,Shera Street,iNat:2635150,,345459,ALG
Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,,flattened acid kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,ligulata,,,,,unlisted,unlisted,new 2019,observed,1991-01-29,Oliver Kaddatz,UBC,A80348,,2019-05-04,Isabelle M. Côté,iNat:129150963,"possible, no photo to check",328357,ALG
Desmarestia viridis,(O.F. Müller) J.V. Lamouroux,,stringy acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,viridis,,,,,unlisted,unlisted,new 2017,observed,,,,,,2017-04-08,Tyrel Froese,iNat:5620551,,182892,ALG
Desmochloris sp.,,,green alga,Plantae,Chlorophyta,,,Ulvophyceae,,,Chlorocystidales,,,Chlorocystidaceae,,,Desmochloris,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:172,,,,,,1510059,ALG
Detonula pumila,(Castracane) Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Detonula,pumila,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,iNat:5197581,,468053,ALG
Devaleraea mollis,"(Setchell & N.L.Gardner) G.W.Saunders, C.J.Jackson & Salomaki",,thin dulse,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Devaleraea,mollis,,,,,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb,PMLS,PMLS2021:1128,,,,,reported as Palmaria mollis,747472,ALG
Dictyocha crux,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,crux,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-07-13,Mark Webber,iNat:5197588,,534455,ALG
Dictyocha fibula,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,fibula,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-01-20,Mark Webber,iNat:4849190,,424389,ALG
Dictyota binghamiae,J.Agardh,,mermaid's gloves,Chromista,Ochrophyta,,,Phaeophyceae,,,Dictyotales,,,Dictyotaceae,,,Dictyota,binghamiae,,,,,unlisted,unlisted,reported,unobserved,1999-05-04,Andy Lamb,PMLS,PMLS2021:276,,,,,"possible, no photo to check",124829,ALG
Dinophysis acuminata,Claparède & Lachmann,,dinoflagellate,Chromista,Miozoa,Myzozoa,Dinoflagellata,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Dinophysis,acuminata,,,,,unlisted,unlisted,new 2012,observed,,,,,,2012-08-05,Mark Webber,iNat:4849148,,320121,ALG
Diploneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Diploneidineae,,Diploneidaceae,,,Diploneis,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-22,Mark Webber,iNat:50195051,,345801,ALG
Discostella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Stephanodiscales,,,Stephanodiscaceae,,,Discostella,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:153,,,,,,367352,ALG
Ditylum brightwellii,(T. West) Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Lithodesmidales,,,Lithodesmiaceae,,,Ditylum,brightwellii,,,,,unlisted,unlisted,new 2011,observed,,,,,,2011-11-19,Mark Webber,iNat:4848365,,424387,ALG
Dysteria sp.,,,ciliate,Chromista,Ciliophora,Intramacronucleata,,Phyllopharyngea,Cyrtophoria,,Dysteriida,,,Dysteriidae,,,Dysteria,,,,,,unlisted,unlisted,new 2023,unobserved,2023-01-01,"Mark Webber, Arjan van Asselt",Webber et al. 2023,WEBBERETAL2023:126,,,,,,1112625,ALG
Ebria tripartita,(Schumann) Lemmermann,,flagellate,Chromista,Cercozoa,Filosa,Ventrifilosa,Thecofilosea,,,Ebriida,,,Ebriidae,,,Ebria,tripartita,,,,,unlisted,unlisted,new 2022,observed,,,,,,2022-06-25,Andrew Simon,iNat:126984541,,990948,ALG
Egregia menziesii,"(Turner) Areschoug, 1876",,feather boa kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Lessoniaceae,,,Egregia,menziesii,,,,,unlisted,unlisted,reported,unobserved,1991-01-29,Oliver Kaddatz,UBC,A80351,,,,,,67419,ALG
Ellerbeckia sol,(Ehrenberg) R.M.Crawford & P.A.Sims,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Paraliophycidae,,Paraliales,,,Radialiplicataceae,,,Ellerbeckia,sol,,,,,unlisted,unlisted,new 2021,observed,,,,,,2021-03-07,Mark Webber,iNat:190964499,,1509403,ALG
Ellerbeckia sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Paraliales,,,Radialiplicataceae,,,Ellerbeckia,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:78,,,,,,544124,ALG
Endocladia muricata,(Endlicher) J.Agardh,,nail brush seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Endocladiaceae,,,Endocladia,muricata,,,,,unlisted,unlisted,confirmed,observed,2006-11-11,Andy Lamb,PMLS,PMLS2021:1214,,2019-05-05,Bridgette Clarkston,iNat:25927063,,117781,ALG
Ephelota sp.,,,ciliate,Chromista,Ciliophora,Intramacronucleata,,Phyllopharyngea,Suctoria,,Exogenida,,,Ephelotidae,,,Ephelota,,,,,,unlisted,unlisted,new 2023,unobserved,2023-01-01,"Mark Webber, Arjan van Asselt",Webber et al. 2023,WEBBERETAL2023:127,,,,,,490405,ALG
Ephemera sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Plagiotropidaceae,,,Ephemera,,,,,,unlisted,unlisted,new 2008,observed,,,,,,2008-07-19,Mark Webber,iNat:4856515,,173671,ALG
Eucampia zodiacus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Eucampia,zodiacus,,,,,unlisted,unlisted,new 2004,observed,,,,,,2004-07-23,Mark Webber,iNat:4848935,,468045,ALG
Eupyxidicula turris,(Greville) S.Blanco & C.E.Wetzel,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Archaegladiopsophycidae,,Stephanopyxales,,,Stephanopyxidaceae,,,Eupyxidicula,turris,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,iNat:4848947,,1268528,ALG
Extubocellulus cribriger,"Hasle, Stosch & Syvertsen",,diatom,Chromista,Bacillariophyta,Bacillariophytina,,Mediophyceae,Cymatosirophycidae,,Cymatosirales,,,Cymatosiraceae,,,Extubocellulus,cribriger,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:82,,,,,,1424555,ALG
Extubocellulus spinifer,"Hasle, Stosch & Syvertsen",,diatom,Chromista,Bacillariophyta,Bacillariophytina,,Mediophyceae,Cymatosirophycidae,,Cymatosirales,,,Cymatosiraceae,,,Extubocellulus,spinifer,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:83,,,,,,1424557,ALG
Fallacia forcipata,(Greville) Stickle & D.G.Mann,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Sellaphorineae,,Sellaphorineae,,,Fallacia,forcipata,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:99,,,,,,991555,ALG
Farlowia mollis,(Harvey & Bailey) Farlow & Setchell,,tattered red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Farlowia,mollis,,,,,unlisted,unlisted,new 2019,observed,2006-03-05,Andy Lamb,PMLS,PMLS2021:1132,,2019-05-04,Bridgette Clarkston,iNat:25861009,,117783,ALG
Fistulifera sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Stauroneidaceae,,,Fistulifera,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:154,,,,,,544163,ALG
Fragilaria capucina,Desmazières,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Fragilaria,capucina,,,,,unlisted,unlisted,new 2004,observed,,,,,,2004-07-20,Mark Webber,iNat:5197628,,345512,ALG
Fragilariopsis cf oceanica,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,oceanica,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,iNat:5197620,,534459,ALG
Fredericqia chiton,"(M.Howe) Maggs, L.Le Gall, Mineur, Provan & G.W. Saunders",,thin forked seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,chiton,,,,,unlisted,unlisted,reported,unobserved,2016-03-27,Andy Lamb,PMLS,PMLS2021:2257,,,,,reported as Gymnogongrus chiton,957351,ALG
Fredericqia deveauniensis,"Maggs, L.Le Gall, Mineur, Provan & G.W.Saunders",,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,deveauniensis,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-05-05,Bridgette Clarkston,iNat:25927077,,564944,ALG
Fryeella gardneri,(Setchell) Kylin,,arched red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Fryeellaceae,,,Fryeella,gardneri,,,,,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57502,,,,,"no change, but no photos to confirm",500286,ALG
Fucus distichus,L.,,rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,,,Fucus,distichus,,,,,unlisted,unlisted,confirmed,observed,1994-09-10,Andy Lamb,PMLS,PMLS2021:196,,2014-02-11,lhurteau,iNat:16788084,syn. Fucus distichus ssp. evanescens,69155,ALG
Gedaniella panicellus,"Chunlian Li, S.X.Yu & Witkowski",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Gedaniella,panicellus,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:95,,,,,,944705,ALG
Gloiocladia fryeana,(Setchell) N.Sánchez & Rodríguez-Prieto,,margined blue branching seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,fryeana,,,,,unlisted,unlisted,reported,unobserved,2006-09-29,Andy Lamb,PMLS,PMLS2021:1203,,,,,reported as Fauchea fryeana,865801,ALG
Gloiocladia laciniata,(J.Agardh) Sánchez & Rodríguez-Prieto,,blue branching seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,laciniata,,,,,unlisted,unlisted,new 2019,observed,1995-02-24,Charlie Gibbs,PMLS,PMLS2021:1069,,2019-05-04,Isabelle M. Côté,iNat:129284352,,429862,ALG
Gomphonema acuminatum,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,acuminatum,,,,,unlisted,unlisted,new 2004,observed,,,,,,2004-07-21,Mark Webber,iNat:9291305,,333685,ALG
Gomphonemopsis exigua,(Kützing) Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Rhoicospheniaceae,,,Gomphonemopsis,exigua,,,,,unlisted,unlisted,new 2021,observed,,,,,,2021-03-07,Mark Webber,iNat:189517016,,970660,ALG
Gomphonemopsis pseudexigua,Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Rhoicospheniaceae,,,Gomphonemopsis,pseudexigua,,,,,unlisted,unlisted,new 2020,observed,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:97,,2021-03-07,Mark Webber,iNat:189577227,,992202,ALG
Gomphoseptatum aestuarii,(Cleve) Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Rhoicospheniaceae,,,Gomphoseptatum,aestuarii,,,,,unlisted,unlisted,new 2021,observed,,,,,,2021-03-07,Mark Webber,iNat:189760245,,1435555,ALG
Gracilaria pacifica,Abbott,,California limu,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gracilariales,,,Gracilariaceae,,,Gracilaria,pacifica,,,,,unlisted,unlisted,reported,unobserved,1996-02-04,E. Mcneil,UBC,A82320,,,,,"no change, but no photos to confirm",497324,ALG
Gracilariophila oryzoides,Setchell & H.L.Wilson,,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gracilariales,,,Gracilariaceae,,,Gracilariophila,oryzoides,,,,,unlisted,unlisted,new 2021,observed,,,,,,2021-04-10,Kevin Toomer,iNat:73655263,,339047,ALG
Gracilariopsis andersonii,(Grunow) E.Y.Dawson,,sea spaghetti,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gracilariales,,,Gracilariaceae,,,Gracilariopsis,andersonii,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,iNat:25861429,,360321,ALG
Grammatophora oceanica,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Rhabdonematales,,,Grammatophoraceae,,,Grammatophora,oceanica,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,iNat:190097553,,992225,ALG
Griffithsia pacifica,Kylin,,orange-coloured red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Ceramiaceae,,,Griffithsia,pacifica,,,,,unlisted,unlisted,reported,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57492,,,,,"no change, but no photos to confirm",326993,ALG
Guinardia delicatula,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,delicatula,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,iNat:4873172,,429202,ALG
Guinardia striata,(Stolterfoth) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Guinardia,striata,,,,,unlisted,unlisted,new 2007,observed,,,,,,2007-01-23,Mark Webber,iNat:4873173,,416666,ALG
Gyrodinium sp.,,,dinoflagellate,Chromista,Miozoa,Myzozoa,Dinoflagellata,Dinophyceae,,,Gymnodiniales,,,Gymnodiniaceae,,,Gyrodinium,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:213,,,,,,448286,ALG
Gyrosigma limosum,Sterrenburg & Underwood,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Gyrosigma,limosum,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:102,,,,,,1509815,ALG
Halamphora coffaeiformis,(C. Agardh) Kützing,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Thalassiophysales,,,Catenulaceae,,,Halamphora,coffaeiformis,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,iNat:4874695,,1269622,ALG
Halosaccion glandiforme,(S.G. Gmelin) Ruprecht,,sea sacs,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Halosaccion,glandiforme,,,,,unlisted,unlisted,new 2016,observed,1996-09-28,Charlie Gibbs,PMLS,PMLS2021:1092,,2016-08-17,Andrew Simon,iNat:3910080,,123649,ALG
Halothrix sp.,,,brown alga,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,Halothrix,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:186,,,,,,1125023,ALG
Harveyella sp.,,,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Choreocolacaceae,,,Harveyella,,,,,,unlisted,unlisted,new 2023,unobserved,2023-01-01,"Mark Webber, Arjan van Asselt",Webber et al. 2023,WEBBERETAL2023:162,,,,,,904517,ALG
Haslea howeana,(Hagelstein) Giffen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Haslea,howeana,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:112,,,,,,1424564,ALG
Haslea pseudostrearia,"Massé, Rincé & E.J.Cox",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Naviculaceae,,,Haslea,pseudostrearia,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2020,WEBBERETAL2020:116,,,,,,1424565,ALG
