Family,Full Species,iNat Taxon,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes
Alismataceae,Alisma triviale Pursh,Alisma triviale,,Wetland,1,,,,,
Amaranthaceae,Amaranthus blitoides S. Watson*,Amaranthus blitoides,,Open,1,,,,,
Amaranthaceae,Amaranthus powellii S. Watson*,Amaranthus powellii,,Open,1,,,,,
Amaranthaceae,Atriplex dioica Raf.,Atriplex dioica,,Shoreline,87,,,,,
Amaranthaceae,Atriplex gmelinii C.A. Mey. ex Bong.,Atriplex gmelinii,var. gmelinii,Shoreline,26,,,,,
Amaranthaceae,Atriplex littoralis L.*,Atriplex littoralis,,Shoreline,1,,,,,
Amaranthaceae,Atriplex patula L.*,Atriplex patula,,Shoreline,5,,,,,
Amaranthaceae,Atriplex prostrata Boucher ex DC.*,Atriplex prostrata,,Shoreline,40,,,,,
Amaranthaceae,"Chenopodiastrum murale (L.) S. Fuentes, Uotila & Borsch*",Chenopodiastrum murale,,Open,1,,,,,
Amaranthaceae,Chenopodium berlandieri Moq.,Chenopodium berlandieri zschackei,var. zschackei,Shoreline,19,,,,,
Amaranthaceae,Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson,Chenopodium leptophyllum,var. leptophyllum,Open,1,,,,,
Amaranthaceae,Chenopodium macrospermum Hook.f,Chenopodium macrospermum,,Wetland,1,,,,,
Amaranthaceae,"Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch",Oxybasis rubra,,Shoreline,2,,,,,
Amaranthaceae,Salicornia depressa Standl.,Salicornia depressa,,Shoreline,3,,,,,
Amaranthaceae,Salicornia pacifica Standl.,Salicornia pacifica,,Shoreline,54,,,,,
Amaranthaceae,Sarcocornia pacifica Standl.,Salicornia pacifica,,Shoreline,5,,,,,
Amaryllidaceae,Allium acuminatum Hook.,Allium acuminatum,,Open,97,,,,,
Amaryllidaceae,Allium amplectens Torr.,Allium amplectens,,Open,2,,,,,
Amaryllidaceae,Allium cernuum Roth,Allium cernuum,,Shoreline,74,,,,,
Amaryllidaceae,Allium sativum L.*,Allium sativum,,Open,2,,,,,
Amaryllidaceae,Allium vineale L.*,Allium vineale,,Open,2,,,,,
Amaryllidaceae,Narcissus poeticus L.*,Narcissus poeticus,,Open,5,,,,,
Amaryllidaceae,Narcissus pseudonarcissus L.*,Narcissus pseudonarcissus,,Forest,8,,,,,
Apiaceae,Angelica genuflexa Nutt.,Angelica genuflexa,,Wetland,1,,,,,
Apiaceae,Angelica lucida L.,Angelica lucida,,Shoreline,2,,,,,
Apiaceae,Anthriscus caucalis M. Bieb.*,Anthriscus caucalis,,Open,20,,,,,
Apiaceae,Carum carvi L.*,Carum carvi,,Open,1,,,,,
Apiaceae,Cicuta douglasii (DC.) J.M. Coult. & Rose,Cicuta douglasii,,Wetland,2,,,,,
Apiaceae,Conioselinum pacificum (S. Watson) J.M. Coult. & Rose,Conioselinum gmelinii,,Wetland,30,,,,,
Apiaceae,Conium maculatum L.*,Conium maculatum,,Open,3,,,,,
Apiaceae,Daucus carota L.*,Daucus carota,,Open,6,,,,,
Apiaceae,Daucus pusillus Michx.,Daucus pusillus,,Open,20,,,,,
Apiaceae,Foeniculum vulgare Mill.*,Foeniculum vulgare,,Open,3,,,,,
Apiaceae,Glehnia leiocarpa Mathias,Glehnia littoralis leiocarpa,,Shoreline,1,,,,,
Apiaceae,Heracleum mantegazzianum Sommier & Levier*,Heracleum mantegazzianum,,Forest,3,,,,,
Apiaceae,Heracleum maximum Bartr.,Heracleum maximum,,Open,21,,,,,
Apiaceae,Lilaeopsis occidentalis J.M. Coult. & Rose,Lilaeopsis occidentalis,,Shoreline,2,,,,,
Apiaceae,Lomatium nudicaule (Pursh) J.M. Coult. & Rose,Lomatium nudicaule,,Open,43,,,,,
Apiaceae,Lomatium utriculatum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,Lomatium utriculatum,,Open,29,,,,,
Apiaceae,Oenanthe sarmentosa C. Presl ex DC.,Oenanthe sarmentosa,,Wetland,12,,,,,
Apiaceae,Osmorhiza berteroi DC.,Osmorhiza berteroi,,Forest,29,,,,,
Apiaceae,Osmorhiza purpurea (J.M. Coult. & Rose) Suksd.,Osmorhiza purpurea,,Forest,4,,,,,
Apiaceae,Perideridia montana (Blank.) Dorn,Perideridia gairdneri,,Open,5,,,,,
Apiaceae,Petroselinum crispum (Mill.) Fuss*,Petroselinum crispum,,Open,2,,,,,
Apiaceae,Pimpinella saxifraga L.*,Pimpinella saxifraga nigra,ssp. nigra,Open,1,,,,,
Apiaceae,Sanicula bipinnatifida Douglas ex Hook.,Sanicula bipinnatifida,,Open,12,,,,,
Apiaceae,Sanicula crassicaulis Poepp. ex DC.,Sanicula crassicaulis crassicaulis,var. crassicaulis,Open,78,,,,,
Apiaceae,Sium suave Walter,Sium suave,,Wetland,1,,,,,
Apiaceae,Torilis arvensis (Huds.) Link*,Torilis arvensis arvensis,ssp. arvensis,Open,7,,,,,
Apiaceae,Yabea microcarpa (Hook. & Arn.) Koso-Pol.,Yabea microcarpa,,Wetland,1,,,,,
Apocynaceae,Apocynum androsaemifolium L.,Apocynum androsaemifolium,,Open,2,,,,,
Apocynaceae,Vinca major L.*,Vinca major,,Forest,5,,,,,
Apocynaceae,Vinca minor L.*,Vinca minor,,Forest,1,,,,,
Aquifoliaceae,Ilex aquifolium L.*,Ilex aquifolium,,Open,24,,,,,
Araceae,Arum italicum Mill.*,Arum italicum,,Forest,3,,,,,
Araceae,Lemna minor L.,Lemna minor,,Wetland,2,,,,,
Araceae,Lemna trisulca L.,Lemna trisulca,,Wetland,3,,,,,
Araceae,Lemna turionifera Landolt,Lemna turionifera,,Wetland,8,,,,,
Araceae,Lysichiton americanus Hulten & H. St. John,Lysichiton americanus,,Wetland,5,,,,,
Araceae,Spirodela polyrhiza (L.) Schleid.,Spirodela polyrhiza,,Wetland,3,,,,,
Araceae,"Wolffia borealis (Engelm.) Landolt & Wildi ex Gandhi, Wiersema & Brouillet",Wolffia borealis,,Wetland,2,,,,,
Araceae,Wolffia columbiana H. Karsten,Wolffia columbiana,,Wetland,2,,,,,
Araliaceae,Hedera helix L.*,Hedera helix,,Forest,8,,,,,
Araliaceae,Hedera hibernica (G. Kirchn.) Bean*,Hedera hibernica,,Forest,21,,,,,
Aristolochiaceae,Asarum caudatum Lindl.,Asarum caudatum,,Forest,2,,,,,
Asparagaceae,Asparagus officinalis L.*,Asparagus officinalis,,Open,5,,,,,
Asparagaceae,Brodiaea coronaria (Salisb.) Engl.,Brodiaea coronaria,,Open,62,,,,,
Asparagaceae,Brodiaea rosea (Greene) Baker,Brodiaea coronaria rosea,var. rosea,Open,5,,,,,
Asparagaceae,Camassia leichtlinii (Baker) S. Watson,Camassia leichtlinii suksdorfii,ssp. suksdorfii,Open,95,,,,,
Asparagaceae,Camassia quamash (Pursh) Greene,Camassia quamash maxima,ssp. maxima,Open,15,,,,,
Asparagaceae,Dichelostemma congestum (Sm.) Kunth,Dichelostemma congestum,,Open,1,,,,,
Asparagaceae,Hyacinthoides x massartiana Heist. ex Fabr.*,Hyacinthoides × massartiana,,Open,9,,,,,
Asparagaceae,Maianthemum dilatatum (Alph. Wood) A. Nelson & J.F. Macbr.,Maianthemum dilatatum,,Forest,16,,,,,
Asparagaceae,Maianthemum racemosum (L.) Link,Maianthemum racemosum amplexicaule,ssp. amplexicaule,Forest,16,,,,,
Asparagaceae,Maianthemum stellatum (L.) Link,Maianthemum stellatum,,Forest,7,,,,,
Asparagaceae,Muscari armeniacum Leichtlin ex Baker*,Muscari armeniacum,,Open,2,,,,,
Asparagaceae,Ornithogalum umbellatum L.*,Ornithogalum umbellatum,,Open,1,,,,,
Asparagaceae,Scilla forbesii (Baker) Speta*,Scilla forbesii,,Open,1,,,,,
Asparagaceae,Triteleia grandiflora Lindl.,Triteleia grandiflora,var. howellii,Open,10,,,,,
Asparagaceae,Triteleia hyacinthina (Lindl.) Greene,Triteleia hyacinthina,,Open,23,,,,,
Aspleniaceae,Asplenium trichomanes L.,Asplenium trichomanes trichomanes,ssp. trichomanes,Open,4,,,,,
Asteraceae,Achillea millefolium L.,Achillea millefolium,,Open,107,,,,,
Asteraceae,Adenocaulon bicolor Hook.,Adenocaulon bicolor,,Forest,9,,,,,
Asteraceae,Agoseris grandiflora (Nutt.) Greene,Agoseris grandiflora,"ssp. grandiflora, ssp. leptophylla",Open,20,,,,,
Asteraceae,Agoseris heterophylla (Nutt.) Greene,Agoseris heterophylla heterophylla,var. heterophylla,Open,3,,,,,
Asteraceae,Ambrosia chamissonis (Less.) Greene,Ambrosia chamissonis,,Shoreline,38,,,,,
Asteraceae,Anaphalis margaritacea (L.) Benth. & Hook. f.,Anaphalis margaritacea,,Open,12,,,,,
Asteraceae,Anisocarpus madioides Nutt.,Anisocarpus madioides,,Forest,20,,,,,
Asteraceae,Antennaria racemosa Hook.,Antennaria racemosa,,Open,1,,,,,
Asteraceae,Anthemis cotula L.*,Anthemis cotula,,Open,2,,,,,
Asteraceae,Arctium minus (Hill) Bernh.*,Arctium minus,,Open,4,,,,,
Asteraceae,Artemisia campestris L.,Artemisia campestris pacifica,var. scouleriana,Open,17,,,,,
Asteraceae,Artemisia suksdorfii Piper,Artemisia suksdorfii,,Open,5,,,,,
Asteraceae,Artemisia vulgaris L.*,Artemisia vulgaris,,Open,1,,,,,
Asteraceae,Bellis perennis L.*,Bellis perennis,,Open,23,,,,,
Asteraceae,Bidens beckii Torr. ex Spreng.,Bidens beckii,,Wetland,1,,,,,
Asteraceae,Bidens frondosa L.,Bidens frondosa,,Shoreline,1,,,,,
Asteraceae,Calendula officinalis L.*,Calendula officinalis,,Open,1,,,,,
Asteraceae,Carduus nutans L.*,Carduus nutans,,Open,1,,,,,
Asteraceae,Centaurea cyanus L.*,Centaurea cyanus,,Open,2,,,,,
Asteraceae,Centaurea diffusa Lam.*,Centaurea diffusa,,Open,1,,,,,
Asteraceae,Centaurea gerstlaueri Erdner*,Centaurea gerstlaueri,,Open,3,,,,,
Asteraceae,Centaurea jacea L.*,Centaurea jacea,,Open,2,,,,,
Asteraceae,Centaurea melitensis L.*,Centaurea melitensis,,Open,2,,,,,
Asteraceae,Centaurea montana L.*,Centaurea montana,,Open,1,,,,,
Asteraceae,Centaurea stoebe L.*,Centaurea stoebe australis,ssp. australis,Open,3,,,,,
Asteraceae,Centaurea varnensis Velen.*,Centaurea varnensis,,Open,1,,,,,
Asteraceae,Cichorium intybus L.*,Cichorium intybus,,Open,2,,,,,
Asteraceae,Cirsium arvense (L.) Scop.*,Cirsium arvense,,Open,32,,,,,
Asteraceae,Cirsium brevistylum Cronquist,Cirsium brevistylum,,Forest,7,,,,,
Asteraceae,Cirsium vulgare (Savi) Ten.*,Cirsium vulgare,,Open,67,,,,,
Asteraceae,Conyza canadensis (L.) Cronquist,Erigeron canadensis,,Open,3,,,,,
Asteraceae,Coreopsis grandiflora x C. lanceolata *,Coreopsis grandiflora,,Open,1,,,,,
Asteraceae,Coreopsis lanceolata L.*,Coreopsis lanceolata,,Open,2,,,,,
Asteraceae,Cotula coronopifolia L.*,Cotula coronopifolia,,Shoreline,2,,,,,
Asteraceae,Crepis capillaris (L.) Wallr.*,Crepis capillaris,,Open,10,,,,,
Asteraceae,Crepis nicaeensis Balbis ex Pers.*,Crepis nicaeensis,,Open,1,,,,,
Asteraceae,Crocidium multicaule Hook.,Crocidium multicaule,,Open,2,,,,,
Asteraceae,Erigeron philadelphicus L.,Erigeron philadelphicus,,Forest,1,,,,,
Asteraceae,Erigeron speciosus (Lindl.) DC.,Erigeron speciosus,,Open,1,,,,,
Asteraceae,Eriophyllum lanatum (Pursh) J. Forbes,Eriophyllum lanatum,"var. lanatum, var. leucophyllum",Open,33,,,,,
Asteraceae,Filago arvensis L.*,Filago arvensis,,Open,1,,,,,
Asteraceae,Filago vulgaris Lam.*,Filago germanica,,Open,4,,,,,
Asteraceae,Gamochaeta ustulata (Nutt.) Holub,Gamochaeta ustulata,,Open,26,,,,,
Asteraceae,Gnaphalium palustre Nutt.,Gnaphalium palustre,,Open,4,,,,,
Asteraceae,Gnaphalium uliginosum L.*,Gnaphalium uliginosum,,Open,4,,,,,
Asteraceae,Grindelia integrifolia DC.,Grindelia integrifolia,,Shoreline,143,,,,,
Asteraceae,Hemizonella minima (A. Gray) A. Gray,Hemizonella minima,,Open,1,,,,,
Asteraceae,Hieracium albiflorum Hook.,Hieracium albiflorum,,Forest,31,,,,,
Asteraceae,Hieracium aurantiacum L.*,Pilosella aurantiaca,,Open,2,,,,,
Asteraceae,Hieracium caespitosum Dumort.*,Pilosella caespitosa,,Open,2,,,,,
Asteraceae,Hieracium flagellare Willd.*,Pilosella flagellaris,,Open,1,,,,,
Asteraceae,Hieracium stoloniflorum Waldst. & Kit.*,Pilosella stoloniflora,,Open,1,,,,,
Asteraceae,Hypochaeris glabra L.*,Hypochaeris glabra,,Open,24,,,,,
Asteraceae,Hypochaeris radicata L.*,Hypochaeris radicata,,Open,88,,,,,
Asteraceae,Jacobaea maritima (L.) Pelser & Meijden,Jacobaea maritima,,Open,1,,,,,
Asteraceae,Jacobaea maritima x J. vulgaris *,Jacobaea maritima,,Open,1,,,,,
Asteraceae,Jacobaea vulgaris Gaertn.*,Jacobaea vulgaris,,Open,14,,,,,
Asteraceae,Jaumea carnosa (Less.) A. Gray,Jaumea carnosa,,Shoreline,4,,,,,
Asteraceae,Lactuca ludoviciana (Nutt.) Riddell,Lactuca ludoviciana,,Open,1,,,,,
Asteraceae,Lactuca serriola L.*,Lactuca serriola,,Open,9,,,,,
Asteraceae,Lapsana communis L.*,Lapsana communis,,Open,13,,,,,
Asteraceae,Leontodon autumnalis L.*,Scorzoneroides autumnalis,,Open,4,,,,,
Asteraceae,Leontodon saxatilis Lam.*,Leontodon saxatilis saxatilis,ssp. saxatilis,Open,4,,,,,
Asteraceae,Leucanthemum maximum (Ramond) DC.*,Leucanthemum maximum,,Open,1,,,,,
Asteraceae,Leucanthemum vulgare Lam.*,Leucanthemum vulgare,,Open,7,,,,,
Asteraceae,Logfia minima (Sm.) Dumort.*,Logfia minima,,Open,2,,,,,
Asteraceae,Madia exigua (Sm.) A. Gray,Madia exigua,,Open,4,,,,,
Asteraceae,Madia glomerata Hook.,Madia glomerata,,Open,1,,,,,
Asteraceae,Madia gracilis (Sm.) D.D. Keck,Madia gracilis,,Open,9,,,,,
Asteraceae,Madia sativa Molina,Madia sativa,,Open,5,,,,,
Asteraceae,Matricaria discoidea DC.,Matricaria discoidea,,Open,6,,,,,
Asteraceae,Mauranthemum paludosum (Poir.) Vogt & Oberpr.*,Mauranthemum paludosum,,Open,1,,,,,
Asteraceae,Microseris bigelovii (A. Gray) Sch. Bip.,Microseris bigelovii,,Open,2,,,,,
Asteraceae,Mycelis muralis (L.) Dumort.*,Mycelis muralis,,Forest,28,,,,,
Asteraceae,Packera indecora (Greene) Á. Löve & D. Löve,Packera indecora,,Open,1,,,,,
Asteraceae,Packera macounii (Greene) W.A. Weber & Á. Löve,Packera macounii,,Open,4,,,,,
Asteraceae,Petasites frigidus (L.) Fr.,Petasites frigidus palmatus,var. palmatus,Wetland,1,,,,,
Asteraceae,Pseudognaphalium stramineum (Kunth) Anderb.,Pseudognaphalium stramineum,,Open,6,,,,,
Asteraceae,Pseudognaphalium thermale (E.E. Nelson) G.L. Nesom,Pseudognaphalium thermale,,Open,6,,,,,
Asteraceae,Psilocarphus tenellus Nutt.,Psilocarphus tenellus,,Open,1,,,,,
Asteraceae,Senecio sylvaticus L.*,Senecio sylvaticus,,Open,12,,,,,
Asteraceae,Senecio vulgaris L.*,Senecio vulgaris,,Open,60,,,,,
Asteraceae,Sericocarpus rigidus Lindl.,Sericocarpus rigidus,,Open,1,,,,,
Asteraceae,Solidago elongata Nutt.,Solidago elongata,,Open,2,,,,,
Asteraceae,Solidago lepida DC.,Solidago lepida salebrosa,var. salebrosa,Open,12,,,,,
Asteraceae,Solidago simplex Kunth,Solidago simplex,"var. nana, var. simplex",Open,2,,,,,
Asteraceae,Soliva sessilis Ruiz & Pav.*,Soliva sessilis,,Open,12,,,,,
Asteraceae,Sonchus arvensis L.*,Sonchus arvensis arvensis,ssp. arvensis,Open,16,,,,,
Asteraceae,Sonchus asper (L.) Hill*,Sonchus asper asper,ssp. asper,Open,71,,,,,
Asteraceae,Sonchus oleraceus L.*,Sonchus oleraceus,,Open,102,,,,,
Asteraceae,Symphyotrichum boreale (Torr. & A. Gray) Á. Löve & D. Löve,Symphyotrichum boreale,,Wetland,1,,,,,
Asteraceae,Symphyotrichum subspicatum (Nees) G.L. Nesom,Symphyotrichum subspicatum,,Open,6,,,,,
Asteraceae,Tanacetum balsamita L.*,Tanacetum balsamita,,Open,1,,,,,
Asteraceae,Tanacetum parthenium (L.) Sch. Bip.*,Tanacetum parthenium,,Open,2,,,,,
Asteraceae,Tanacetum vulgare L.*,Tanacetum vulgare,,Open,3,,,,,
Asteraceae,Taraxacum erythrospermum Andrz. ex Besser*,Taraxacum erythrospermum,,Open,14,,,,,
Asteraceae,Taraxacum officinale F.H. Wigg.*,Taraxacum officinale,,Open,68,,,,,
Asteraceae,Tragopogon dubius Scop.*,Tragopogon dubius,,Open,4,,,,,
Asteraceae,Tragopogon porrifolius L.*,Tragopogon porrifolius,,Open,4,,,,,
Asteraceae,Tragopogon pratensis L.*,Tragopogon pratensis,,Open,1,,,,,
Asteraceae,Tripleurospermum inodorum (L.) Sch. Bip.*,Tripleurospermum inodorum,,Open,4,,,,,
Athyriaceae,Athyrium filix-femina (L.) Roth ex Mertens,Athyrium filix-femina cyclosorum,ssp. cyclosorum,Forest,19,,,,,
Berberidaceae,Berberis aquifolium (Pursh) Nutt.,Berberis aquifolium,,Open,87,,,,,
Berberidaceae,Berberis nervosa (Pursh) Nutt.,Berberis nervosa,,Forest,20,,,,,
Betulaceae,Alnus rubra Bong.,Alnus rubra,,Forest,18,,,,,
Betulaceae,Alnus viridis (Chaix) DC.,Alnus alnobetula sinuata,ssp. sinuata,Forest,8,,,,,
Betulaceae,Betula papyrifera Marshall,Betula papyrifera,,Forest,5,,,,,
Betulaceae,Betula pendula Roth*,Betula pendula,,Forest,1,,,,,
Betulaceae,Corylus cornuta Marshall,Corylus cornuta californica,ssp. californica,Forest,3,,,,,
Blechnaceae,Struthiopteris spicant (L.) Weiss,Struthiopteris spicant,,Forest,5,,,,,
Boraginaceae,Amsinckia intermedia Fisch. & C.A. Mey.,Amsinckia menziesii intermedia,,Open,3,,,,,
Boraginaceae,Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.,Amsinckia menziesii menziesii,,Open,12,,,,,
Boraginaceae,Amsinckia spectabilis Fisch. & C.A. Mey.,Amsinckia spectabilis spectabilis,var. spectabilis,Open,5,,,,,
Boraginaceae,Anchusa azurea Mill.*,Anchusa azurea,,Open,2,,,,,
Boraginaceae,Anchusa officinalis L.*,Anchusa officinalis,,Open,1,,,,,
Boraginaceae,Borago officinalis L.*,Borago officinalis,,Open,1,,,,,
Boraginaceae,Buglossoides arvensis (L.) I.M. Johnst.*,Buglossoides arvensis,,Open,1,,,,,
Boraginaceae,Lycopsis arvensis L.*,Anchusa arvensis,,Open,1,,,,,
Boraginaceae,Myosotis arvensis (L.) Hill*,Myosotis arvensis,,Open,4,,,,,
Boraginaceae,Myosotis discolor Pers.*,Myosotis discolor,,Open,43,,,,,
Boraginaceae,Myosotis latifolia Poir.*,Myosotis latifolia,,Open,1,,,,,
Boraginaceae,Myosotis laxa Lehm.,Myosotis laxa,,Wetland,4,,,,,
Boraginaceae,Myosotis stricta Link ex Roem. & Schult.*,Myosotis stricta,,Open,12,,,,,
Boraginaceae,Myosotis sylvatica Ehrh. ex Hoffm.*,Myosotis sylvatica,,Forest,1,,,,,
Boraginaceae,Nemophila parviflora Douglas ex Benth.,Nemophila parviflora,"var. parviflora, var. austiniae",Forest,14,,,,,
Boraginaceae,Nemophila pedunculata Douglas ex Benth.,Nemophila pedunculata,,Forest,1,,,,,
Boraginaceae,Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey*,Pentaglottis sempervirens,,Forest,1,,,,,
Boraginaceae,Phacelia linearis (Pursh) Holz.,Phacelia linearis,,Open,1,,,,,
Boraginaceae,Plagiobothrys scouleri (Hook. & Arn.) I.M. Johnst.,Plagiobothrys scouleri,,Shoreline,28,,,,,
Boraginaceae,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,Plagiobothrys tenellus,,Open,4,,,,,
Boraginaceae,Symphytum officinale L.*,Symphytum officinale,,Open,1,,,,,
Boraginaceae,Symphytum uplandicum Nyman*,Symphytum × uplandicum,,Open,1,,,,,
Brassicaceae,Alliaria petiolata (M. Bieb.) Cavara & Grande*,Alliaria petiolata,,Forest,2,,,,,
Brassicaceae,Arabidopsis thaliana (L.) Heynh.*,Arabidopsis thaliana,,Open,8,,,,,
Brassicaceae,Arabis caucasica Willd.*,Arabis caucasica,,Open,1,,,,,
Brassicaceae,Arabis eschscholtziana Andrz.,Arabis eschscholtziana,,Open,23,,,,,
Brassicaceae,Aubrieta deltoidea (L.) DC.*,Aubrieta deltoidea,,Open,1,,,,,
Brassicaceae,Barbarea orthoceras Ledeb.,Barbarea orthoceras,,Open,15,,,,,
Brassicaceae,Barbarea vulgaris W.T. Aiton*,Barbarea vulgaris,,Open,1,,,,,
Brassicaceae,Brassica juncea (L.) Czern.*,Brassica juncea,,Open,4,,,,,
Brassicaceae,Brassica nigra (L.) W.D.J. Koch*,Brassica nigra,,Open,3,,,,,
Brassicaceae,Brassica rapa L.*,Brassica rapa,,Open,4,,,,,
Brassicaceae,Cakile edentula (Bigelow) Hook.*,Cakile edentula edentula,var. edentula,Shoreline,17,,,,,
Brassicaceae,Cakile maritima Scop.*,Cakile maritima maritima,ssp. maritima,Shoreline,44,,,,,
Brassicaceae,Camelina microcarpa Andrz. ex DC.*,Camelina microcarpa,,Open,1,,,,,
Brassicaceae,Capsella bursa-pastoris (L.) Medik.*,Capsella bursa-pastoris,,Open,10,,,,,
Brassicaceae,Cardamine flexuosa With.*,Cardamine flexuosa,,Forest,6,,,,,
Brassicaceae,Cardamine hirsuta L.*,Cardamine hirsuta,,Open,66,,,,,
Brassicaceae,Cardamine nuttallii Greene,Cardamine nuttallii,,Forest,2,,,,,
Brassicaceae,Cardamine occidentalis (S. Watson) Howell,Cardamine occidentalis,,Wetland,2,,,,,
Brassicaceae,Cardamine oligosperma Nutt.,Cardamine oligosperma,,Forest,50,,,,,
Brassicaceae,Cardamine pensylvanica Muhl. ex Willd.,Cardamine pensylvanica,,Forest,4,,,,,
Brassicaceae,Draba verna L.*,Draba verna,,Open,30,,,,,
Brassicaceae,Erysimum cheiri (L.) Crantz*,Erysimum cheiri,,Open,1,,,,,
Brassicaceae,Hesperis matronalis L.*,Hesperis matronalis,,Open,2,,,,,
Brassicaceae,Hornungia procumbens (L.) Hayek,Hornungia procumbens,,Shoreline,11,,,,,
Brassicaceae,Lepidium campestre (L.) W.T. Aiton*,Lepidium campestre,,Open,1,,,,,
Brassicaceae,Lepidium densiflorum Schrad.,Lepidium densiflorum,,Open,3,,,,,
Brassicaceae,Lepidium didymum L.*,Lepidium didymum,,Open,1,,,,,
Brassicaceae,Lepidium draba L.*,Lepidium draba,,Open,1,,,,,
Brassicaceae,Lepidium heterophyllum Benth.*,Lepidium heterophyllum,,Open,1,,,,,
Brassicaceae,Lepidium latifolium L.*,Lepidium latifolium,,Open,1,,,,,
Brassicaceae,Lepidium oxycarpum Torr. & A. Gray,Lepidium oxycarpum,,Shoreline,2,,,,,
Brassicaceae,Lepidium perfoliatum L.*,Lepidium perfoliatum,,Open,1,,,,,
Brassicaceae,Lepidium virginicum L.,Lepidium virginicum menziesii,ssp. menziesii,Shoreline,72,,,,,
Brassicaceae,Lobularia maritima (L.) Desv.*,Lobularia maritima,,Open,2,,,,,
Brassicaceae,Lunaria annua L.*,Lunaria annua,,Forest,3,,,,,
Brassicaceae,Nasturtium officinale W.T. Aiton*,Nasturtium officinale,,Wetland,2,,,,,
Brassicaceae,Raphanus raphanistrum L.*,Raphanus raphanistrum,,Open,3,,,,,
Brassicaceae,Raphanus sativus L.*,Raphanus sativus,,Open,2,,,,,
Brassicaceae,Rorippa curvisiliqua (Hook.) Bessey ex Britton,Rorippa curvisiliqua,,Wetland,2,,,,,
Brassicaceae,Rorippa palustris (L.) Besser,Rorippa palustris palustris,ssp. palustris,Wetland,1,,,,,
Brassicaceae,Sinapis arvensis L.*,Sinapis arvensis,,Open,3,,,,,
Brassicaceae,Sisymbrium altissimum L.*,Sisymbrium altissimum,,Open,1,,,,,
Brassicaceae,Sisymbrium officinale (L.) Scop.*,Sisymbrium officinale,,Open,3,,,,,
Brassicaceae,Teesdalia nudicaulis (L.) W.T. Aiton*,Teesdalia nudicaulis,,Open,5,,,,,
Brassicaceae,Thlaspi arvense L.*,Thlaspi arvense,,Open,1,,,,,
Brassicaceae,Turritis glabra L.,Turritis glabra,,Open,49,,,,,
Cabombaceae,Brasenia schreberi J.F. Gmel.,Brasenia schreberi,,Wetland,2,,,,,
Cactaceae,Opuntia fragilis (Nutt.) Haw.,Opuntia fragilis,,Shoreline,27,,,,,
Campanulaceae,Campanula medium L.*,Campanula medium,,Open,2,,,,,
Campanulaceae,Campanula persicifolia L.*,Campanula persicifolia,,Open,1,,,,,
Campanulaceae,Campanula rapunculoides L.*,Campanula rapunculoides,,Open,1,,,,,
Campanulaceae,Campanula rotundifolia L.,Campanula rotundifolia,,Open,14,,,,,
Campanulaceae,Campanula scouleri Hook. ex A. DC.,Campanula scouleri,,Forest,4,,,,,
Campanulaceae,Githopsis specularioides Nutt.,Githopsis specularioides,,Open,1,,,,,
Campanulaceae,Lobelia dortmanna L.,Lobelia dortmanna,,Wetland,1,,,,,
Campanulaceae,Triodanis perfoliata (L.) Nieuwl.,Triodanis perfoliata,,Wetland,6,,,,,
Caprifoliaceae,Centranthus ruber (L.) DC.*,Centranthus ruber,,Open,1,,,,,
Caprifoliaceae,Dipsacus fullonum L.*,Dipsacus fullonum,,Open,5,,,,,
Caprifoliaceae,Linnaea borealis L.,Linnaea borealis longiflora,ssp. longiflora,Forest,9,,,,,
Caprifoliaceae,Lonicera ciliosa (Pursh) Poir. ex DC.,Lonicera ciliosa,,Forest,52,,,,,
Caprifoliaceae,Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray,Lonicera hispidula,,Forest,56,,,,,
Caprifoliaceae,Lonicera involucrata (Richardson) Banks ex Spreng.,Lonicera involucrata involucrata,var. involucrata,Forest,9,,,,,
Caprifoliaceae,Plectritis brachystemon Fisch. & C.A. Mey.,Plectritis congesta brachystemon,,Open,3,,,,,
Caprifoliaceae,Plectritis congesta (Lindl.) DC.,Plectritis congesta,,Open,68,,,,,
Caprifoliaceae,Symphoricarpos albus (L.) S.F. Blake,Symphoricarpos albus laevigatus,var. laevigatus,Forest,94,,,,,
Caprifoliaceae,Valeriana scouleri Rydb.,Valeriana sitchensis scouleri,,Forest,3,,,,,
Caprifoliaceae,Valerianella locusta (L.) Laterr.*,Valerianella locusta,,Open,4,,,,,
Caryophyllaceae,Agrostemma githago L.*,Agrostemma githago,,Open,1,,,,,
Caryophyllaceae,Arenaria serpyllifolia L.*,Arenaria serpyllifolia serpyllifolia,var. serpylilfolia,Open,5,,,,,
Caryophyllaceae,Cerastium arvense L.,Cerastium arvense strictum,ssp. strictum,Open,106,,,,,
Caryophyllaceae,Cerastium fontanum Baumg.*,Cerastium holosteoides,ssp. vulgare,Open,12,,,,,
Caryophyllaceae,Cerastium glomeratum Thuill.*,Cerastium glomeratum,,Open,82,,,,,
