"Taxon","Matched.Taxon"
"Castilleja miniata","Castilleja miniata var. miniata"
"Castilleja miniata hispida","Castilleja hispida var. hispida"
"Castilleja parviflora albida","Castilleja parviflora var. albida"
"Ceanothus velutinus hookeri","Ceanothus velutinus var. laevigatus"
"Centarium erythraea","Centaurium erythraea"
"Cerastium arvense","Cerastium arvense ssp. strictum"
"Cerastium fontanum","Cerastium holosteoides"
"Chenopodium rubrum var. rubrum","Oxybasis rubra"
"Chimaphila umbellata","Chimaphila umbellata ssp. umbellata"
"Circea alpina","Circaea alpina"
"Clarkia amoena caurina","Clarkia amoena ssp. caurina"
"Clarkia amoena lindleyi","Clarkia amoena ssp. lindleyi"
"Clarkia amoena var. caurina","Clarkia amoena ssp. caurina"
"Clarkia amoena var. lindleyi","Clarkia amoena ssp. lindleyi"
"Claytonia exigua exigua","Claytonia exigua ssp. exigua"
"Claytonia parviflora var. parviflora","Claytonia parviflora"
"Claytonia rubra depressa","Claytonia rubra ssp. depressa"
"Claytonia spathulata","Claytonia exigua ssp. exigua"
"Conioselinum pacificum","Conioselinum gmelinii"
"Consolida ambigua","Consolida ajacis"
"Convolvulus sepium","Calystegia sepium ssp. sepium"
"Conyza canadensis","Erigeron canadensis"
"Corallorhiza maculata occidentalis","Corallorhiza maculata var. occidentalis"
"Corallorhiza striata","Corallorhiza striata var. striata"
"Corallorhiza striata striata","Corallorhiza striata var. striata"
"Cornus canadensis","Cornus unalaschkensis"
"Cornus sericea occidentalis","Cornus sericea"
"Cornus stolonifera","Cornus sericea"
"Corylus cornuta","Corylus cornuta ssp. californica"
"Corylus cornuta californica","Corylus cornuta ssp. californica"
"Cotoneaster Dielsianus","Cotoneaster simonsii"
"Cotoneaster lacteus","Cotoneaster coriaceus"
"Crassula connata var connata","Crassula connata"
"Crataegus monogyna monogyna","Crataegus monogyna"
"Cuscuta pacifica","Cuscuta pacifica var. pacifica"
"Danthonia decumbens x californica","Danthonia decumbens"
"Daucus carrota","Daucus carota"
"Deschampsia caespitosa","Deschampsia cespitosa"
"Dicentra formosa subsp formosa","Dicentra formosa ssp. formosa"
"Dodecatheon hendersonii","Primula hendersonii"
"Dodecatheon pulchellum","Primula pauciflora var. pauciflora"
"Eleocharis mamillata ssp. mamillata","Eleocharis mamillata"
"Elymus elymoides","Elymus elymoides ssp. californicus"
"Elymus glaucus glaucus","Elymus glaucus"
"Elymus glaucus ssp. glaucus","Elymus glaucus"
"Elymus trachycaulus ssp.  trachycaulus","Elymus trachycaulus ssp. trachycaulus"
"Epilobium angustifolium","Chamaenerion angustifolium"
"Epilobium ciliatum ssp. ciliatum","Epilobium ciliatum"
"Epilobium ciliatum ssp. Watsonii","Epilobium ciliatum"
"Epilobium hornemannii ssp. behringianum","Epilobium hornemannii"
"Epilobium hornemannii ssp. hornemannii","Epilobium hornemannii"
"Equisetum hyemale","Equisetum hyemale ssp. affine"
"Equisetum hyemale affine","Equisetum hyemale ssp. affine"
"Equisetum telmateia","Equisetum telmateia ssp. braunii"
"Equisetum telmateia braunii","Equisetum telmateia ssp. braunii"
"Erigeron glacialis glacialis","Erigeron glacialis"
"Eriophorum angustifolium","Eriophorum gracile"
"Eriophyllum lanatum","Eriophyllum lanatum var. leucophyllum"
"Eriophyllum lanatum integrifolium","Eriophyllum lanatum var. leucophyllum"
"Eriophyllum lanatum leucophyllum","Eriophyllum lanatum var. leucophyllum"
"Erodium cicutarium","Erodium cicutarium ssp. cicutarium"
"Erodium cicutarium cicutarium","Erodium cicutarium ssp. cicutarium"
"Erysimum cheianthoides","Erysimum cheiranthoides"
"Erythranthe guttata","Erythranthe cf guttata"
"Erythranthe guttatus","Erythranthe cf guttata"
"Erythranthe moschatus","Erythranthe moschata"
"Euphrasia officinalis","Euphrasia nemorosa"
"Eutrochium maculatum","Eutrochium maculatum var. bruneri"
"Festuca arundinaceae","Lolium arundinaceum"
"Festuca idahoensis var. roemeri","Festuca roemeri var. roemeri"
"Festuca microstachys","Festuca microstachys var. pauciflora"
"Festuca microstachys pauciflora","Festuca microstachys var. pauciflora"
"Festuca pratensis","Lolium pratense"
"Festuca roemeri","Festuca roemeri var. roemeri"
"Festuca roemeri roemeri","Festuca roemeri var. roemeri"
"Festuca rubra","Festuca rubra s. lat."
"Festuca rubra aucta","Festuca rubra s. lat."
"Festuca rubra pruinosa","Festuca rubra ssp. pruinosa"
"Festuca rubra rubra","Festuca rubra s. lat."
"Festuca rubra sens. lat.","Festuca rubra s. lat."
"Festuca rubra ssp. aucta","Festuca rubra s. lat."
"Festuca rubra ssp. mediana","Festuca rubra s. lat."
"Festuca saximontana var. saximontana","Festuca saximontana"
"Filago vulgaris","Filago germanica"
"Fragaria ananassa ssp. cuneifolia","Fragaria × ananassa ssp. cuneifolia"
"Fragaria vesca","Fragaria vesca ssp. bracteata"
"Fragaria vesca bracteata","Fragaria vesca ssp. bracteata"
"Fragaria vesca subsp bracteata","Fragaria vesca ssp. bracteata"
"Fragaria virginiana ssp. platypetala","Fragaria virginiana"
"Fragaria virginiana subsp platypetala","Fragaria virginiana"
"Fritillaria affinis affinis","Fritillaria affinis"
"G. dissectum","Geranium dissectum"
"G. leptostachya","Glyceria leptostachya"
"G. palustre","Gnaphalium palustre"
"G. purpureum","Gamochaeta ustulata"
"G. pusillum","Geranium pusillum"
"G. robertianum","Geranium robertianum"
"G. squarrosa","Grindelia squarrosa"
"G. striata","Glyceria striata"
"G. uliginosum","Gnaphalium uliginosum"
"Gallium trifidum","Galium trifidum"
"Gallium triflorum","Galium triflorum"
"Gentiana septemfida","Gentiana septemfida?"
"Geranium bicknelii","Geranium bicknellii"
"Geranium carolinanum","Geranium carolinianum"
"Geum macrophyllum macrophyllum","Geum macrophyllum"
"Glaux maritima","Lysimachia maritima"
"Glecoma hederacea","Glechoma hederacea"
"Graphephorum","Graphephorum wolfii"
"Grindelia hirsutula","Grindelia hirsutula var. hirsutula"
"Grindelia hirsutula","Grindelia hirsutula var. hirsutula"
"Grindelia integrifolia","Grindelia stricta"
"Grindelia stricta var. stricta","Grindelia stricta"
"H. calycinium","Hypericum calycinum"
"H. murinum","Hordeum murinum ssp. murinum"
"H. perforatum","Hypericum perforatum"
"Heracleum lanatum","Heracleum maximum"
"Heuchera micrantha","Heuchera micrantha var. diversifolia"
"Heuchera micrantha diversifolia","Heuchera micrantha var. diversifolia"
"Hierochloe odorata","Anthoxanthum hirtum"
"Holodiscus discolor","Holodiscus discolor var. discolor"
"Holodiscus discolor discolor","Holodiscus discolor var. discolor"
"Honckenya peploides","Honckenya peploides ssp. major"
"Hordeum brachyantherum","Hordeum brachyantherum ssp. brachyantherum"
"Hordeum brachyantherum brachyantherum","Hordeum brachyantherum ssp. brachyantherum"
"Hordeum murinum","Hordeum murinum ssp. murinum"
"Hordeum murinum murinum","Hordeum murinum ssp. murinum"
"Hypopitys monotropa","Monotropa hypopitys"
"J. articulatus","Juncus articulatus"
"J. balticus","Juncus balticus"
"J. bolanderi","Juncus bolanderi"
"J. bufonius","Juncus bufonius"
"J. ensifolius","Juncus ensifolius"
"J. oxymeris","Juncus oxymeris"
"J. tenuis","Juncus tenuis"
"Juncus arcticus","Juncus arcticus ssp. alaskanus"
"Juncus arcticus alaskanus","Juncus arcticus ssp. alaskanus"
"Juncus bufonius","Juncus bufonius var. bufonius"
"Juncus bufonius bufonius","Juncus bufonius var. bufonius"
"Juncus effusus effusus","Juncus effusus ssp. effusus"
"Juniperus communis var. kelleyi","Juniperus communis"
"Juniperus communis var. saxatilis","Juniperus communis"
"Juniperus scopulorum","Juniperus maritima"
"Kalmia microphylla occidentalis","Kalmia microphylla var. occidentalis"
"Kalmia occidentalis","Kalmia microphylla var. occidentalis"
"L. denticulatus","Acmispon denticulatus"
"L. latifolius","Lathyrus latifolius"
"L. nevadensis","Lathyrus nevadensis var. nevadensis"
"L. nudicaulis","Lomatium nudicaule"
"L. polycarpus","Lupinus polycarpus"
"L. polyphyllus","Lupinus polyphyllus var. polyphyllus"
"L. purpurea","Linaria purpurea"
"L. purpureum","Lamium purpureum"
"L. serriola","Lactuca serriola"
"L. trisulca","Lemna trisulca"
"L. uniflorus","Lycopus uniflorus"
"L. unifoliatus var unifoliatus","Acmispon americanus var. americanus"
"L. utriculatum","Lomatium utriculatum"
"Lactuca muralis","Mycelis muralis"
"Lamium hybridum","Lamium purpureum var. hybridum"
"Lamium purpureum purpureum","Lamium purpureum"
"Lappula diploloma","Lappula occidentalis"
"Lathyrus nevadensis","Lathyrus nevadensis var. nevadensis"
"Lathyrus nevadensis pilosellus","Lathyrus nevadensis var. nevadensis"
"Ledum groenlandicum","Rhododendron groenlandicum"
"Lemna minor","Lemna minuta"
"Leontodon saxatilis","Leontodon saxatilis ssp. saxatilis"
"Leontodon saxatilis saxatilis","Leontodon saxatilis ssp. saxatilis"
"Lepidium virginicum","Lepidium virginicum ssp. menziesii"
"Leptosiphon bicolor","Leptosiphon minimus"
"Leptosiphon bicolor","Leptosiphon minimus"
"Leymus mollis","Leymus mollis ssp. mollis"
"Leymus mollis mollis","Leymus mollis ssp. mollis"
"Linanthus bicolor","Leptosiphon minimus"
"Linaria canadensis var. texana","Nuttallanthus texanus"
"Linnaea borealis","Linnaea borealis ssp. longiflora"
"Linnaea borealis longiflora","Linnaea borealis ssp. longiflora"
"Linnaea borealis longiflora","Linnaea borealis ssp. longiflora"
"Listera cordata","Neottia cordata"
"Lithophragma parviflora","Lithophragma parviflorum"
"Lomatium grayi","Lomatium papilioniferum"
"Lomatium grayi var. grayi","Lomatium papilioniferum"
"Lomatium grayii","Lomatium papilioniferum"
"Lomatium nuticaule","Lomatium nudicaule"
"Lonicera involucrata","Lonicera involucrata var. involucrata"
"Lotus micranthus","Acmispon parviflorus"
"Lupinus arcticus","Lupinus arcticus ssp. subalpinus"
"Lupinus arcticus subalpinus","Lupinus arcticus ssp. subalpinus"
"Lupinus latifolius var. latifolius","Lupinus latifolius ssp. latifolius"
"Lupinus polyphyllus","Lupinus polyphyllus ssp. polyphyllus"
"Luzula comosa var.  laxa","Luzula comosa var. laxa"
"Luzula multiflora","Luzula multiflora ssp. multiflora"
"Luzula multiflora multiflora","Luzula multiflora ssp. multiflora"
"Luzula parviflora","Luzula parviflora ssp. parviflora"
"Lychnis coronaria","Silene coronaria"
"Lyschiton americanum","Lysichiton americanus"
"Lysichiton americanum","Lysichiton americanus"
"Lysimachia europaea arctica","Lysimachia europaea"
"Lysimachia europaea ssp. arctica","Lysimachia europaea"
"M. glomerata","Madia glomerata"
"M. gracilis","Madia gracilis"
"M. laxa","Myosotis laxa"
"M. linearis","Montia linearis"
"M. madioides","Anisocarpus madioides"
"M. moschatus","Erythranthe moschata"
"M. neglecta","Malva neglecta"
"M. parvifolia","Montia parvifolia ssp. parvifolia"
"M. pumila","Malus domestica"
"M. sativa","Madia sativa"
"M. scorpioides","Myosotis scorpioides"
"M. smithii","Melica smithii"
"M. suaveolens","Mentha suaveolens"
"M. verticillatum","Myriophyllum spicatum"
"Madia madioides","Anisocarpus madioides"
"Mahonia aquifolium","Berberis aquifolium"
"Mahonia aquilifolium","Berberis aquifolium"
"Mahonia nervosa","Berberis nervosa"
"Maianthemum dilatum","Maianthemum dilatatum"
"Maianthemum racemosum amplexicaule","Maianthemum racemosum ssp. amplexicaule"
"Malus x domestica","Malus domestica"
"Malus x_domestica","Malus domestica"
"Matricaria matricarioides","Matricaria discoidea"
"Melampyrum lineare","Melampyrum lineare var. lineare"
"Melampyrum lineare var. lineare","Melampyrum lineare"
"Melica smithii x subulata","Melica smithii × subulata"
"Melilotus alba","Melilotus albus"
"Mentha arvensis","Mentha canadensis"
"Micranthes nelsoniana","Micranthes nelsoniana var. cascadensis"
"Micranthes nelsoniana cascadensis","Micranthes nelsoniana var. cascadensis"
"Microseris lindleyi","Uropappus lindleyi"
"Mimulus alsinoides","Erythranthe alsinoides"
"Mimulus guttatus","Erythranthe cf guttata"
"Mimulus moschatus","Erythranthe moschata"
"Minuartia biflora","Cherleria biflora"
"Montia parvifolia parvifolia","Montia parvifolia"
"Myriophyllum","Myriophyllum sp."
"Myriophyllum verticillatum","Myriophyllum sp."
"N. pedunculata","Nemophila pedunculata"
"Nastertium officinale","Nasturtium officinale"
"Nasturtium microphyllum","Nasturtium officinale"
"Nemophila parviflora var. parviflora","Nemophila parviflora"
"Nuphar polysepalum","Nuphar polysepala"
"Orobanche californica","Aphyllon californicum ssp. californicum"
"Orobanche uniflora","Aphyllon purpureum"
"Orthocarpus pusillus","Triphysaria pusilla"
"Osmorhiza chilensis","Osmorhiza berteroi"
"Oxycoccus oxycoccos","Vaccinium oxycoccos"
"P. amphibium","Persicaria amphibia"
"P. aviculare","Polygonum aviculare"
"P. brectholdii","Potamogeton berchtoldii"
"P. compressa","Poa compressa"
"P. convolvulus","Fallopia convolvulus"
"P. elegans","Platanthera elegans ssp. elegans"
"P. fowleri","Polygonum fowleri"
"P. howellii","Poa howellii"
"P. japonica","Petasites japonicus"
"P. macrocera","Plectritis macrocera"
"P. major","Plantago major"
"P. maritima","Plantago maritima"
"P. monticola","Pinus monticola"
"P. natans","Potamogeton natans"
"P. norvegica","Potentilla norvegica"
"P. nuttalliana","Puccinellia nuttalliana"
"P. palustris","Poa palustris"
"P. persicaria","Persicaria maculosa"
"P. picta","Pyrola picta"
"P. ponderosa","Pinus ponderosa var. ponderosa"
"P. pumila","Puccinellia pumila"
"P. secunda","Poa secunda ssp. secunda"
"P. spergulariaeforme","Polygonum spergulariiforme"
"P. tenellus","Plagiobothrys tenellus"
"P. tremuloides","Populus tremuloides"
"P. trivialis","Poa trivialis"
"P. unalaschensis","Platanthera unalascensis"
"Pachistima myrsinites","Paxistima myrsinites"
"Parentucellia viscosa","Bellardia viscosa"
"Penstemon davidsonii","Penstemon davidsonii var. menziesii"
"Penstemon davidsonii menziesii","Penstemon davidsonii var. menziesii"
"Penstemon procerus tolmiei","Penstemon procerus var. tolmiei"
"Pentagramma triangularis","Pentagramma triangularis ssp. triangularis"
"Pentagramma triangularis triangularis","Pentagramma triangularis ssp. triangularis"
"Perideridia montana","Perideridia gairdneri"
"Petasites frigidus var. nivalis","Petasites frigidus var. frigidus"
"Phacelia hastata hastata","Phacelia hastata ssp. hastata"
"Phacelia sericea","Phacelia sericea var. sericea"
"Philadelphus lewesii","Philadelphus lewisii"
"Phlox diffusa","Phlox diffusa ssp. longistylis"
"Phlox diffusa longistylis","Phlox diffusa ssp. longistylis"
"Phlox gracilis","Microsteris gracilis"
"Phlox gracilis ssp. gracilis","Microsteris gracilis"
"Phragmites communis","Phragmites australis ssp. americanus"
"Pinguicula vulgaris","Pinguicula macroceras"
"Pinus contorta","Pinus contorta var. contorta"
"Pinus contorta contorta","Pinus contorta var. contorta"
"Pinus ponderosa","Pinus ponderosa var. ponderosa"
"Pinus ponderosa ponderosa","Pinus ponderosa var. ponderosa"
"Piperia elegans","Platanthera elegans ssp. elegans"
"Piperia elegans (inc. maritima)","Platanthera elegans ssp. elegans"
"Piperia unalascensis","Platanthera unalascensis"
"Plantago elongata var. elongata","Plantago elongata"
"Plantago maritima juncoides","Plantago maritima"
"Plantago marítima ssp. juncoides","Plantago maritima"
"Platanthera elegans ssp. elegans","Platanthera elegans"
"Platanthera hyperborea","Platanthera aquilonis"
"Plectritis brachystemon","Plectritis congesta ssp. brachystemon"
"Plectritis congesta","Plectritis congesta ssp. congesta"
"Plectritis congesta brachystemon","Plectritis congesta ssp. brachystemon"
"Plectritis congesta congesta","Plectritis congesta ssp. congesta"
"Poa bulbosa vivipara","Poa bulbosa"
"Poa secunda","Poa secunda ssp. secunda"
"Poa secunda secunda","Poa secunda ssp. secunda"
"Poa secunda ssp. secunda","Poa secunda ssp. secunda"
"Polygonum amphibium","Persicaria amphibia"
"Polygonum persicaria","Persicaria maculosa"
"Populus balsamifera ssp. trichocarpa","Populus trichocarpa"
"Populus tremuloides var. vancouveriana","Populus tremuloides"
"Potamogeton pusillus","Potamogeton pusillus ssp. pusillus"
"Potamogeton pusillus var. tenuissimus","Potamogeton berchtoldii"
"Potentilla anserina ssp. pacifica","Argentina pacifica"
"Potentilla anserina var. pacifica","Argentina pacifica"
"Potentilla diversifolia","Potentilla glaucophylla var. glaucophylla"
"Potentilla egedii","Argentina anserina"
"Potentilla palustris","Comarum palustre"
"Prenanthes alata","Nabalus alatus"
"Primula pauciflora","Primula pauciflora var. pauciflora"
"Prunella vulgaris vulgaris","Prunella vulgaris var. vulgaris"
"Prunus emarginata","Prunus emarginata var. emarginata"
"Prunus emarginata emarginata","Prunus emarginata var. emarginata"
"Prunus x pugetensis","Prunus × pugetensis"
"Pseudotsuga menziesii","Pseudotsuga menziesii var. menziesii"
"Pseudotsuga menziesii menziesii","Pseudotsuga menziesii var. menziesii"
"Pseudotsuga menziesii ssp. menziesii","Pseudotsuga menziesii var. menziesii"
"Pteridium aquilinum","Pteridium aquilinum var. pubescens"
"Pteridium aquilinum pubescens","Pteridium aquilinum var. pubescens"
"Pyrola aphylla (asarifolia)","Pyrola aphylla"
"Quercus garryana","Quercus garryana var. garryana"
"Quercus garryana garryana","Quercus garryana var. garryana"
"R. aquatilis","Ranunculus aquatilis"
"R. conglomeratus","Rumex conglomeratus"
"R. crispus","Rumex crispus"
"R. flammula","Ranunculus flammula"
"R. gymnocarpa","Rosa gymnocarpa var. gymnocarpa"
"R. islandica","Rorippa palustris ssp. palustris"
"R. laciniatus","Rubus laciniatus"
"R. lobbii","Ribes lobbii"
"R. obtusifolius","Rumex obtusifolius"
"R. parviflorus","Rubus parviflorus"
"R. repens","Ranunculus repens"
"R. salicifolius","Rumex transitorius"
"R. sardous","Ranunculus sardous"
"R. sativus","Raphanus sativus"
"R. spectabilis","Rubus spectabilis"
"R. uncinatus","Ranunculus uncinatus"
"Ranunculus cymbalaria","Halerpestes cymbalaria"
"Ranunculus eschscholtzii","Ranunculus eschscholtzii var. eschscholtzii"
"Ranunculus flammula","Ranunculus flammula var. reptans"
"Ranunculus flammula reptans","Ranunculus flammula var. reptans"
"Ranunculus flammula var. ovalis","Ranunculus flammula"
"Ranunculus occidentalis","Ranunculus occidentalis var. occidentalis"
"Ranunculus occidentalis occidentalis","Ranunculus occidentalis var. occidentalis"
"Rhamnus purshiana","Frangula purshiana"
"Rhinanthus minor minor","Rhinanthus minor"
"Rhinanthus minor ssp. minor","Rhinanthus minor"
"Rhus diversiloba","Toxicodendron diversilobum"
"Ribes divaricatum","Ribes divaricatum var. divaricatum"
"Ribes divaricatum divaricatum","Ribes divaricatum var. divaricatum"
"Ribes sanguineum sanguineum","Ribes sanguineum var. sanguineum"
"Rorippa islandica","Rorippa palustris ssp. palustris"
"Rosa eglanteria","Rosa rubiginosa"
"Rosa gymnocarpa gymnocarpa","Rosa gymnocarpa var. gymnocarpa"
"Rosa gymnocarpa ssp. gymnocarpa","Rosa gymnocarpa var. gymnocarpa"
"Rosa gymnocarpa var gymnocarpa","Rosa gymnocarpa var. gymnocarpa"
"Rosa nutkana","Rosa nutkana ssp. nutkana"
"Rosa nutkana nutkana","Rosa nutkana ssp. nutkana"
"Rosa nutkana subsp nutkana","Rosa nutkana ssp. nutkana"
"Rosa pisocarpa","Rosa pisocarpa ssp. pisocarpa"
"Rosa pisocarpa subsp pisocarpa","Rosa pisocarpa ssp. pisocarpa"
"Rubus armeniacus","Rubus bifrons"
"Rubus discolor","Rubus bifrons"
"Rubus fruticosus","Rubus fruticosus complex"
"Rubus idaeus","Rubus idaeus ssp. strigosus"
"Rubus leucodermis var. leucodermis","Rubus leucodermis"
"Rubus procerus","Rubus bifrons"
"Rubus spectabilis spectabilis","Rubus spectabilis"
"Rumex salicifolius","Rumex transitorius"
"S. album","Sedum album"
"S. cooleyae","Stachys chamissonis var. cooleyae"
"S. crassicaulis","Sanicula crassicaulis"
"S. crispa","Stellaria crispa"
"S. cucubalus","Silene vulgaris"
"S. decumbens ssp. occidentalis","Sagina decumbens ssp. occidentalis"
"S. integrifolia","Micranthes integrifolia"
"S. lanceolatum var. nesioticum","Sedum lanceolatum var. nesioticum"
"S. lucida","Salix lasiandra var. lasiandra"
"S. marina","Spergularia marina"
"S. maritimus var. paludosus","Bolboschoenus maritimus ssp. paludosus"
"S. microcarpus","Scirpus microcarpus"
"S. mollis","Symphoricarpos mollis"
"S. natans","Sparganium natans"
"S. procumbens","Sagina procumbens"
"S. reflexum","Petrosedum rupestre"
"S. sarrachoides","Solanum sarrachoides"
"S. sitchensis","Salix sitchensis"
"S. spathulifolium","Sedum spathulifolium"
"S. sylvaticus","Senecio sylvaticus"
"S. vulgaris","Senecio vulgaris"
"Sagina decumbens","Sagina decumbens ssp. occidentalis"
"Salicornia pacifica","Salicornia pacifica"
"Salicornia perennis","Salicornia pacifica"
"Salicornia virginica","Salicornia pacifica"
"Salix lasiandra","Salix lasiandra var. lasiandra"
"Salix lasiandra lasiandra","Salix lasiandra var. lasiandra"
"Salix lucida","Salix lasiandra var. lasiandra"
"Sambucus racemosa","Sambucus racemosa var. arborescens"
"Sambucus racemosa arborescens","Sambucus racemosa var. arborescens"
"Sambucus racemosa racemosa","Sambucus racemosa var. arborescens"
"Sambucus racemosa ssp. pubens","Sambucus racemosa var. arborescens"
"Sanguisorba minor ssp. muricata","Sanguisorba minor"
"Sanicula crassicaulis crassicaulis","Sanicula crassicaulis var. crassicaulis"
"Sanicula crassicaulis tripartita","Sanicula crassicaulis var. tripartita"
