"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"Alsia californica","(Hooker & Arnott)","","California alsia moss","Plantae","Bryophyta","","","Bryopsida","","","Leucodontales","","","Leucodontaceae","","","Alsia","californica","","","","","native","S4S5 (2015)","confirmed","observed","1962-06-04","Frank M. Boas & Wilfred B. Schofield","WTU","B-035944","","2021-06-12","Daniel Tucker","iNat:82960318","UBC specimen erroneously identified as Pseudoleskeella tectorum","55323","BRY"
"Amphidium californicum","(Hampe ex Müll. Hal.) Broth.","","California yoke moss","Plantae","Bryophyta","","","Bryopsida","","","Orthotrichales","","","Orthotrichaceae","","","Amphidium","californicum","","","","","native","S4 (2015)","confirmed","observed","1962-06-03","Wilfred B. Schofield & F. M. Boas","UBC","B45016","","2017-03-23","Andrew Simon","iNat:9370700","","158304","BRY"
"Anacolia menziesii","(Turner) Paris","","Menzies’ Anacolia moss","Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","Bartramiaceae","","","Anacolia","menziesii","","","","","native","S4S5 (2015)","confirmed","observed","2010-01-26","Terry McIntosh","Bryos and Lichens of Mt Sutil Inventory 2010","","","2017-03-30","Andrew Simon","iNat:5537829","","128572","BRY"
"Anthoceros fusiformis","Austin","","dotted hornwort","Plantae","Anthocerotophyta","","","Anthocerotopsida","","","Anthocerotales","","","Anthocerotaceae","","","Anthoceros","fusiformis","","","","","native","S3S4 (2020)","confirmed","observed","1962-06-04","Frank M. Boas & Wilfred B. Schofield","WTU","B-010848","","2018-04-01","Andrew Simon","iNat:13879380","Reported as Anthoceros punctatus; Check: Schofield’s report of Anthoceros punctatus is likely in error","56326","BRY"
"Antitrichia californica","Sull.","","California Antitrichia moss","Plantae","Bryophyta","","","Bryopsida","","","Leucodontales","","","Leucodontaceae","","","Antitrichia","californica","","","","","native","S4 (2015)","confirmed","observed","2010-01-26","Terry McIntosh","Bryos and Lichens of Mt Sutil Inventory 2010","","","2016-01-28","Andrew Simon","iNat:2626838","","67846","BRY"
"Antitrichia curtipendula","(Timm ex Hedw.) Brid.","","pendulous wing-moss","Plantae","Bryophyta","","","Bryopsida","","","Leucodontales","","","Leucodontaceae","","","Antitrichia","curtipendula","","","","","native","S5 (2015)","confirmed","observed","2010-01-26","Terry McIntosh","Bryos and Lichens of Mt Sutil Inventory 2010","","","2018-02-15","Andrew Simon","iNat:9903552","","126107","BRY"
"Atrichum selwynii","Austin","","crane's-bill moss","Plantae","Bryophyta","","","Bryopsida","","","Polytrichales","","","Polytrichaceae","","","Atrichum","selwynii","","","","","native","S5? (2015)","confirmed","observed","2011-05-14","Kent Brothers","VMS","","","2014-09-27","Andrew Simon","iNat:2632385","","55331","BRY"
"Atrichum undulatum","(Hedw.) P. Beauv.","","common smooth cap","Plantae","Bryophyta","","","Bryopsida","","","Polytrichales","","","Polytrichaceae","","","Atrichum","undulatum","","","","","native","S5 (2015)","confirmed","observed","2014","Terry McIntosh","Bryophytes and Lichens from Galiano Island 2010–2015","","","2020-04-30","Andrew Simon","iNat:44569736","","124155","BRY"
"Aulacomnium androgynum","(Hedw.) Schwägr.","","lover’s moss","Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","Aulacomniaceae","","","Aulacomnium","androgynum","","","","","native","S5 (2015)","confirmed","observed","2017-05-13","Olivia Lee, Steve Joya, Andrew Simon & Scott Gilmore","UBC","B213486","","2015-03-21","Lauren Magner & Andrew Simon","iNat:2608820","","124384","BRY"
"Aulacomnium palustre","(Hedw.) Schwägr.","","bog groove-moss","Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","Aulacomniaceae","","","Aulacomnium","palustre","","","","","native","S5 (2015)","confirmed","observed","2000-06-12","Hans Roemer","ER 128 Inventory","","","2020-05-07","Andrew Simon","iNat:45205086","","154189","BRY"
